,,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (IEP = Indice de l'état du pont),,,,,,,,,,,,,,,,,,,
38C-  62/C,RED ROCK RIVER CULVERT,,17,47.6967,-84.81532,Culvert,Closed Culvert,Round Culvert,Steel,1976,2009,,1,Total=3  (1)=3;,28.2,,Northeastern,,Open to traffic,Provincial,06/11/2015,91,,,91,,,,98.9,,100,,15.9,6,,,,32.6,,
38C-  63/C,KASUBECK CREEK CULVERT,,17,47.7387,-84.82289,Culvert,Closed Culvert,Ellipse Culvert,Reinforced Cast-In-Place Concrete,1977,2006,,1,Total=3  (1)=3;,31.6,,Northeastern,,Open to traffic,Provincial,07/13/2017,73.4,73.5,,74.6,,,,74.6,,72.9,,74.6,75,,35.5,,32.9,,
,,,,,,,,,,,,,,,,,,,,,,73.5,73.5,,74.6,,,,74.6,,72.9,,74.6,75,,35.5,,32.9,,
38C-  64/C,RABBIT BLANKET CREEK CULVERT,,17,47.75249,-84.82527,Culvert,Closed Culvert,Round Culvert,Steel,1977,2011,,2,Total=6.6  (1)=3.3;(2)=3.3;,36.6,,Northeastern,,Open to traffic,Provincial,07/08/2015,94.9,,,94.9,,94.9,,52.9,,11.5,,11.8,63.2,,44.3,,44.3,,
38C-  65/C,WAWA CREEK CULVERT,,17,47.93776,-84.81075,Culvert,Closed Culvert,Round Culvert,Steel,1973,2017,,2,Total=7.2  (1)=3.6;(2)=3.6;,40,,Northeastern,,Open to traffic,Provincial,09/11/2017,83.1,83.1,,58.8,,62.1,,66.7,,66.5,,58.3,60.8,,49.7,,50.7,,
38C-  66/C,CATFISH CREEK CULVERT # 1,,17,48.18143,-84.83639,Culvert,Open Culvert,Arch Culvert (OPEN),Reinforced Precast Concrete,2005,,,1,Total=3.4;  (1)=3.4;,41.1,,Northeastern,,Open to traffic,Provincial,07/13/2017,88,88,,,,99.8,,,,99.9,,99.9,33.1,,75,,12.1,,
38C-  67/C,CATFISH CREEK CULVERT #2,,17,48.1735,-84.82829,Culvert,Open Culvert,Arch Culvert (OPEN),Corrugated Steel,2003,,,1,Total=11.5  (1)=11.5;,25.3,,Northeastern,,Open to traffic,Provincial,06/11/2015,97.2,,,97.2,,,,96.5,,96.6,,95.3,93,,75,,14.1,,
38C-  68/C,CATFISH CREEK CULVERT #3,,17,48.15754,-84.81341,Culvert,Closed Culvert,Round Culvert,Steel,1973,,,1,Total=3.7  (1)=3.7;,55,,Northeastern,,Open to traffic,Provincial,06/11/2015,99.3,,,99.3,,,,99.1,,54.7,,51.8,58.7,,70.1,,40.8,,
38C-  69/C,TUKANEE CREEK CULVERT,,631,48.61439,-85.2304,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1990,2014,,1,Total=3.5  (1)=3.5;,45.2,,Northeastern,,Open to traffic,Provincial,07/25/2017,81.8,81.8,,83.4,,66.4,,66.7,,66.9,,69.4,71.6,,72.3,,59,,
38C-  70/C,RED ROCK TRIB CULVERT,,17,47.7039,-84.81227,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1977,2009,,1,Total=2.7  (1)=2.7;,41.7,,Northeastern,,Open to traffic,Provincial,06/11/2015,96.4,,,96.4,,,,97.9,,13,,13.8,5.8,,56.8,,,,
38C-  71/C,"MINK LAKE CREEK CULVERT
",,631,48.6097,-85.1048,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1990,2014,,1,Total=3.6  (1)=3.6;,35.4,,Northeastern,,Open to traffic,Provincial,07/25/2017,81.4,81.4,,82.7,,62.6,,69.6,69.7,,,,,,,,,,
38C-  72/C,"PICNIC LAKE CREEK CULVERT
",,631,48.603,-85.25759,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2014,,,2,Total=10.8  (1)=5.4;(2)=5.4;,20,,Northeastern,,Open to traffic,Provincial,07/07/2015,99.9,,,99.9,,,,77.6,77.7,,,,,,,,,,
38C- 151/C,UNIVERSITY RIVER CULVERT,,17,48.39749,-85.08103,Culvert,Open Culvert,Arch Culvert (OPEN),Reinforced Precast Concrete,2006,,,1,Total=3.3  (1)=3.3;,32.2,,Northeastern,,Open to traffic,Provincial,07/08/2015,98.4,,,98.4,,,,100,,99.8,,100,,,,,,,
38C- 152/C,UNKNOWN CREEK CULVERT,,17,48.20735,-84.84586,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,,,,1,Total=3.14  (1)=3.14;,25.17,,Northeastern,,Open to traffic,Provincial,07/26/2017,74.8,74.8,,75.5,,76.2,,,,,,,,,,,,,
38C- 153/C,COTTON LAKE TRIBUTARY CULVERT,,17,48.34512,-85.051765,Culvert,Closed Culvert,Round Culvert,Steel,,,,1,Total=3.33  (1)=3.33;,28.25,,Northeastern,,Open to traffic,Provincial,07/31/2017,73.2,73.2,,,,,,,,,,,,,,,,,
38C- 154/C,Knife Creek Culvert,,17,48.3316,-85.0279,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,,,,3,Total=8.4  (1)=2.8;(2)=2.8;(3)=2.8;,26.83,,Northeastern,,Open to traffic,Provincial,07/26/2017,12.3,12.3,,,,,,,,,,,,,,,,,
38C- 155/C,UNNAMED CREEK CULVERT ,,17,48.46466,-85.11676,Culvert,Open Culvert,Arch Culvert (OPEN),Steel,,,,1,Total=3  (1)=3.0;,35.84,,Northeastern,,Open to traffic,Provincial,07/26/2017,71.2,71.2,,,,,,,,,,,,,,,,,
38N-   1/,NEGAGAMISIS NARROWS BRIDGE,PONT NEGAGAMISIS NARROWS ,631,49.47449,-84.72525,Bridge,Beam/Girder,Rolled I Beam,Steel,1959,1988,,3,Total=27  (1)=9;(2)=9;(3)=9;,27.6,9.4,Northeastern,,Open to traffic,Provincial,06/28/2017,72.1,72.1,,72.7,,72.7,,72.7,,71.8,,72.3,72.4,,64.3,,,,66.7
38N-   4/C,HORNEPAYNE CREEK CULVERT,,631,49.1996,-84.7823,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1967,,,2,Total=7  (1)=3.5;(2)=3.5;,28.9,,Northeastern,,Open to traffic,Provincial,06/28/2017,65.8,65.8,,66.1,,66.8,,66.5,,38.5,,72.9,75,,61,,,,
38N-   7/,SHEKAK RIVER BRIDGE,PONT SHEKAK RIVER ,631,49.12444,-84.78503,Bridge,Beam/Girder,Rolled I Beam,Steel,1965,,1991,3,Total=32  (1)=9;(2)=14;(3)=9;,32.7,10.4,Northeastern,,Open to traffic,Provincial,06/28/2017,70.8,70.8,,70.9,,71.1,,71.2,,72.8,,72.6,72.9,,64.9,,,,68.1
38N-   8/,WEST BEATON RIVER BRIDGE,PONT DE LA RIVIÈRE WEST BEATON ,631,49.00384,-84.76,Bridge,Slab,Solid Slab,Prestressed Precast Concrete,1968,1991,,3,Total=26  (1)=8;(2)=10;(3)=8;,28.3,9.75,Northeastern,,Open to traffic,Provincial,06/28/2017,69.2,69.2,,69.6,,70.5,,70.6,,69,,69.2,69.4,,54.3,,,,66.1
38N-  13/C,WEST BEATON TRIBUTARY CULVERT,,631,48.98039,-84.76053,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2015,,,1,Total=3.6  (1)=3.6;,42,,Northeastern,,Open to traffic,Provincial,10/20/2015,100,,,100,,35.5,,35.5,,37.8,,23,43.6,,57.9,,,,
38N-  14/C,CEDAR CREEK CULVERT,,631,49.38152,-84.71862,Culvert,Closed Culvert,Box Culvert (Non-Rigid Frame),Reinforced Precast Concrete,2015,,,1,Total=6.2  (1)=6.2;,25,,Northeastern,,Open to traffic,Provincial,10/20/2015,99.9,,,99.9,,44.7,,44.7,,48.3,,50.2,77.5,,48.6,,,,
38S-   1/,AGAWA RIVER BRIDGE,PONT AGAWA RIVER ,17,47.35839,-84.63729,Bridge,Truss,Through Truss,Steel,1959,2010,2008,1,Total=98  (1)=98;,98.9,11.07,Northeastern,,Open to traffic,Provincial,08/01/2017,73.3,73.3,,73.8,,74.8,,66.8,,66.8,,66.6,64.9,,54.5,,,,57.9
38S-   2/,MONTREAL RIVER BRIDGE,PONT MONTREAL RIVER ,17,47.23799,-84.64561,Bridge,Beam/Girder,Rolled I Beam,Steel,1958,1994,,1,Total=29  (1)=29;,30,11.9,Northeastern,,Open to traffic,Provincial,10/11/2017,68.3,68.3,,68.7,,69.7,,70.7,,70.7,,71,71.9,,71.8,,,,69.4
38S-   3/,SNOWSHOE CREEK BRIDGE,PONT SNOWSHOE CREEK ,129,46.54982,-83.42938,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1977,,,3,Total=48.7  (1)=15.2;(2)=18.3;(3)=15.2;,48.8,10,Northeastern,,Open to traffic,Provincial,10/24/2017,70,70,,71.1,,71.7,,72.1,,71.9,,71.7,70.8,,70.2,,,,69.9
38S-   4/C,SECONDARY RYAN TWP. CULVERT,,17,46.96955,-84.7077,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1963,,,1,Total=5;  (1)=5;,25,,Northeastern,,Open to traffic,Provincial,08/03/2017,73.2,73.2,,73.3,,73.7,,,,73.7,,73.6,73.4,,56.8,,56.4,,
38S-   5/,PANCAKE RIVER BRIDGE,PONT PANCAKE RIVER ,17,46.96095,-84.6561,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,2001,,,1,Total=46.3  (1)=46.3;,46.7,13.75,Northeastern,,Open to traffic,Provincial,08/21/2017,81.8,81.8,,93.6,,96.4,,97,,97.1,,98.9,99.3,,72.6,,,,
38S-   6/,CARP RIVER BRIDGE,PONT CARP RIVER ,17,46.94568,-84.58023,Bridge,Beam/Girder,Rolled I Beam,Steel,1963,2013,2009,5,Total=43  (1)=8;(2)=9;(3)=9;(4)=9;(5)=8;,43.6,12.8,Northeastern,,Open to traffic,Provincial,08/03/2017,78.3,78.3,,79.5,,72.5,,72.5,,72.6,,67.7,68.8,,61.2,,,,64.2
38S-   7/,BATCHAWANA RIVER BRIDGE,PONT BATCHAWANA RIVER ,17,46.933003,-84.528625,Bridge,Beam/Girder,Rolled I Beam,Steel,1941,2013,,5,Total=91  (1)=16;(2)=19;(3)=21;(4)=19;(5)=16;,94,11.46,Northeastern,,Open to traffic,Provincial,08/21/2017,86.3,86.3,,92.2,,73.4,,73.4,,73.7,,82.5,73.8,,70,,,,63.1
38S-   8/C,CHIPPEWA RIVER CULVERT,,17,46.92826,-84.42627,Culvert,Open Culvert,Arch Culvert (OPEN),Reinforced Cast-In-Place Concrete,1939,2015,,1,Total=30  (1)=30;,33,,Northeastern,,Open to traffic,Provincial,08/22/2017,73.3,73.3,,80.1,,70.8,,,,71.4,,70.7,72.5,,67.4,,,,53.9
38S-   9/C,STONEY CREEK CULVERT,,129,46.6114,-83.42257,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1978,,,1,Total=6.1  (1)=6.1;,53.75,,Northeastern,,Open to traffic,Provincial,08/16/2017,69.1,69.1,,69.3,,69.8,,70.4,,69,,70,87.5,,61,,,,
38S-  10/C,LAFOE CREEK SUPER-COR CULVERT,,129,46.63841,-83.41985,Culvert,Open Culvert,Arch Culvert (OPEN),Corrugated Steel,2000,,,1,Total=14.1;  (1)=14.1;,30.75,,Northeastern,,Open to traffic,Provincial,08/25/2015,99.4,,,99.4,,,,98.3,,99,,99,97.2,,75,,,,
38S-  11/,GRAVEL RIVER BRIDGE #3,PONT #3 DE LA RIVIÈRE GRAVEL ,129,46.76306,-83.36413,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1982,,,1,Total=17  (1)=17;,17.3,9.4,Northeastern,,Open to traffic,Provincial,08/15/2017,66.8,66.8,,67.6,,69.2,,70.2,,70.7,,77.8,78.3,,64.2,,,,63
38S-  12/,MISSISSAGI RIVER BRIDGE AT AUBREY FALLS,PONT DE LA RIVIÈRE MISSISSAGI @ AUBREY FALLS ,129,46.90128,-83.26738,Bridge,Truss,Deck Truss,Steel,1965,,1986,3,Total=94  (1)=21;(2)=52;(3)=21;,98.7,10.36,Northeastern,,Open to traffic,Provincial,10/19/2017,71,71,,71.2,,71.3,,71,,70.1,,69.9,70.1,,66.5,,,,62.1
38S-  13/,RAPID RIVER BRIDGE,PONT Rapid River Bailey ,129,46.74338,-83.39685,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2010,2010,,1,Total=20.6  (1)=20.6;,23,12.2,Northeastern,,Open to traffic,Provincial,08/15/2017,88.9,88.9,,95.1,,95.8,,98.5,,77,,73.6,74.5,,72.4,,,,70.6
38S-  14/,STOKELY CREEK BRIDGE ON HAVILLAND SHORES DRIVE,PONT DU RUISSEAU STOKELY A HAVILLAND,7045,46.81575,-84.40852,Bridge,Temporary Modular,Other TMB,Steel,2013,,,1,Total=22.45  (1)=22.45;,23.4,9.67,Northeastern,,Open to traffic,Provincial,08/03/2017,94.9,94.9,,99.4,,62.9,,62.9,,61.3,,64.3,64.2,,71.3,,,,
38S-  15/C,HARMONY RIVER CULVERT,,17,46.84884,-84.36685,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,2015,,3,Total=18.2  (1)=6.1;(2)=6.1;(3)=6;,14.12,,Northeastern,,Open to traffic,Provincial,08/03/2017,73.2,73.2,,74.2,,70.4,,,,70.5,,70.1,71.4,,69.4,,,,68.4
38S-  16/,HARDWOOD'S CREEK BRIDGE (JONES CREEK),PONT HARDWOOD'S CREEK (JONES CREEK) ,17,46.87506,-84.35422,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1962,1989,,1,Total=6.1  (1)=6.1;,14,6.9,Northeastern,,Open to traffic,Provincial,09/01/2017,63.9,63.9,,63.9,,62.2,,67.8,,70,,69.5,70.1,,73.5,,,,
38S-  20/,LITTLE GARDEN RIVER BRIDGE # 1,PONT DE LA RIVIÈRE LITTLE GARDEN,556,46.79951,-83.74677,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1988,,,1,Total=17.9  (1)=17.9;,19.7,9.8,Northeastern,,Open to traffic,Provincial,08/17/2017,74.6,74.6,,76,,76,,80.3,,90.9,,92.3,90.3,,74.5,,,,74.4
38S-  21/,LITTLE GARDEN RIVER BRIDGE #2,PONT DE LA RIVIÈRE LITTLE GARDEN #2,556,46.81277,-83.74024,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1988,,,1,Total=16  (1)=16;,18,9.5,Northeastern,,Open to traffic,Provincial,08/17/2017,73.9,73.9,,74.4,,73.2,,85.3,,90,,90.4,91,,73.9,,,,68.6
38S-  22/C,KINAHAN CREEK CULVERT,,556,46.81495,-83.73831,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1988,,,2,Total=6.2  (1)=3.1;(2)=3.1;,27,,Northeastern,,Open to traffic,Provincial,08/17/2017,64,64,,64.3,,68,,68.2,,68.3,,70,74.6,,59.9,,,,
38S-  23/,MISSISSAGI RIVER BRIDGE,PONT DE LA RIVIÈRE MISSISSAGI ,556,46.87925,-83.31239,Bridge,Temporary Modular,Bailey Panel,Steel,1993,,,1,Total=54.8  (1)=54.8;,60,7.4,Northeastern,,Open to traffic,Provincial,08/15/2017,71.8,71.8,,71,,72.4,,72.7,,72.3,,72.3,71.7,,64.6,,,,73.9
38S-  34/,GOULAIS RIVER BRIDGE,PONT GOULAIS RIVER ,17,46.73036,-84.34891,Bridge,Truss,Through Truss,Steel,1958,1995,2012,1,Total=91  (1)=91;,94.6,10.9,Northeastern,,Open to traffic,Provincial,09/01/2017,78.3,78.3,,78.3,,78.4,,67.9,,66.7,,66.8,66.8,,60.1,,,,61.3
38S-  35/,GOULAIS RIVER BRIDGE,PONT DE LA RIVIÈRE GOULAIS,552,46.71829,-84.28683,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1991,,,3,Total=91  (1)=27;(2)=37;(3)=27;,91.7,9.41,Northeastern,,Open to traffic,Provincial,07/18/2017,84.8,84.8,,84.9,,86,,87.6,,87.7,,90.7,90.5,,70.5,,,,74.9
38S-  37/C,BEAVER FALLS CREEK CULVERT,,556,46.73917,-84.13404,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1974,,,1,Total=5;  (1)=5;,37.5,,Northeastern,,Open to traffic,Provincial,08/02/2017,63.5,63.5,,63.3,,70.1,,69.2,,70,,65.1,66.6,,56.9,,,,
38S-  38/C,RAINBOW CREEK CULVERT,,556,46.746083,-84.10091,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2012,,,1,Total=5  (1)=5;,22,,Northeastern,,Open to traffic,Provincial,08/26/2015,98.7,,,98.7,,99.7,,24.1,,18.4,,6.8,6.9,,69.1,,,,
38S-  39/C,SILVER CREEK CULVERT,,556,46.74731,-84.07603,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1976,,,1,Total=3.9  (1)=3.9;,22.1,,Northeastern,,Open to traffic,Provincial,08/02/2017,58,58,,67.9,,72.4,,71.1,,70.5,,68.9,75,,61.7,,,,
38S-  40/C,DAM CREEK CULVERTS,,532,46.75101,-84.0671,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1983,,,2,Total=7;  (1)=4.5;(2)=2.5;,18.6,,Northeastern,,Open to traffic,Provincial,08/02/2017,51.1,51.1,,51.3,,63.1,,65.2,,65.2,,63.5,74.2,,53,,,,
38S-  41/,ACHIGAN CREEK BRIDGE,PONT DU RUISSEAU ACHIGAN,532,46.78998,-84.05476,Bridge,Temporary Modular,Mabey Panel,Steel,1985,,2012,1,Total=42.7  (1)=42.7;,48.7,4.3,Northeastern,,Open to traffic,Provincial,08/02/2017,70.4,70.4,,72.2,,72.3,,72.2,,70.7,,72.7,76.4,,65,,,,73.9
38S-  44/C,DAM CREEK CULVERT,,556,46.75067,-83.98797,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1987,,,1,Total=6.85  (1)=6.85;,20,,Northeastern,,Open to traffic,Provincial,08/17/2017,71.8,71.8,,72,,72,,,,73.3,,72.6,74.6,,63,,,,
38S-  53/C,ROOT RIVER CULVERT NO. 4,,17,46.61901,-84.30679,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1959,,,2,Total=9.74  (1)=4.87;(2)=4.87;,27,,Northeastern,,Open to traffic,Provincial,07/18/2017,62.3,62.3,,63.2,,65.6,,66.1,,67.1,,62.7,63.1,,51.3,,,,
38S-  54/C,ROOT RIVER CULVERT NO. 3,,17,46.62565,-84.30977,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1959,,,2,Total=8.54  (1)=4.27;(2)=4.27;,24,,Northeastern,,Open to traffic,Provincial,07/18/2017,69,69,,69.5,,69.9,,70.3,,70,,70,69.8,,66,,,,
38S-  56/,LITTLE WHITE RIVER BAILEY BRIDGE,PONT BAILEY LITTLE WHITE RIVER ,546,46.6438,-82.82351,Bridge,Temporary Modular,Bailey Panel,Steel,2009,,,1,Total=39  (1)=39;,39.8,5.5,Northeastern,,Open to traffic,Provincial,07/31/2017,83.7,83.7,,87.3,,93.6,,98.5,,68.3,,68,68.1,,44.4,,,,36.1
38S-  57/,LITTLE WHITE RIVER BRIDGE,LITTLE WHITE RIVER ,546,46.6595,-82.81374,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1990,,,1,Total=37.5  (1)=37.5;,38.2,9.5,Northeastern,,Open to traffic,Provincial,10/13/2016,74.5,,74.5,,77.4,,83.6,,88.3,,76.1,,76.7,,74,74.3,,,
38S-  58/,KINDIOGAMI RIVER BRIDGE,PONT DE LA RIVIÈRE KINDIOGAMI ,546,46.67215,-82.81205,Bridge,Temporary Modular,Bailey Panel,Steel,1973,,2011,1,Total=19.1  (1)=19.1;,21.3,3.66,Northeastern,,Open to traffic,Provincial,10/13/2016,65.7,,65.7,,63.9,,64.5,,63.9,,65.1,,59.3,,55.7,51.9,,,
38S-  59/,CAMP 8 CREEK BRIDGE,PONT BAILEY CAMP 8 CREEK ,546,46.67744,-82.79019,Bridge,Temporary Modular,Bailey Panel,Steel,1973,,2011,1,Total=21.33  (1)=21.33;,21.3,3.76,Northeastern,,Open to traffic,Provincial,07/19/2016,72.4,,72.4,,72.7,,72.7,,73.4,,73.4,,68.2,,60.2,54.5,,,
38S-  60/,PORTLANCE RIVER BAILEY BRIDGE,PONT BAILEY PORTLANCE RIVER ,546,46.67934,-82.70865,Bridge,Temporary Modular,Bailey Panel,Steel,1970,,2008,1,Total=15.24  (1)=15.24;,15.2,3.66,Northeastern,,Open to traffic,Provincial,07/19/2016,73.3,,73.3,,74,,74.1,,73.4,,73.3,,75.4,,70.1,72.7,,,
38S-  61/,SKUNK CREEK BAILEY BRIDGE,PONT BAILEY SKUNK CREEK ,546,46.67765,-82.70598,Bridge,Temporary Modular,Bailey Panel,Steel,2003,,2011,1,Total=15.24  (1)=15.24;,15.2,3.66,Northeastern,,Open to traffic,Provincial,10/13/2016,74.3,,74.3,,74,,74.3,,74.1,,74.5,,73.9,,71.5,71.1,,,
38S-  62/,SAUBLE RIVER BAILEY BRIDGE,PONT BAILEY DE LA RIVIÈRE SAUBLE ,810,46.6695,-82.25394,Bridge,Temporary Modular,Bailey Panel,Steel,1974,,2008,1,Total=12.2  (1)=12.2;,12.2,3.86,Northeastern,,Open to traffic,Provincial,09/12/2016,69.5,,69.5,,69.7,,73.9,,73.9,,74.7,,74.5,,73.7,71.5,,,
38S-  63/C,BIG CARP RIVER EAST CULVERT,,550,46.53483,-84.47311,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1956,,,1,Total=6.5  (1)=6.5;,16.39,,Northeastern,,Open to traffic,Provincial,08/03/2017,70,70,,70.7,,71.1,,,,71.1,,71.1,71.7,,50.6,,50.7,,
38S-  88/,ROOT RIVER BRIDGE,PONT ROOT RIVER ,17,46.54616,-84.21853,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1992,,,1,Total=42  (1)=42;,42.8,17.4,Northeastern,,Open to traffic,Provincial,08/16/2017,73.6,73.6,,77.9,,80,,80.1,,82.5,,83.4,,,72.3,,,,73.5
38S-  89/,GARDEN RIVER BRIDGE,GARDEN PONT DE LA RIVIÈRE ,17,46.54265,-84.15747,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1990,,,3,Total=67  (1)=20;(2)=27;(3)=20;,67.5,16.75,Northeastern,,Open to traffic,Provincial,08/16/2017,73.5,73.5,,76.1,,78,,80.8,,83.2,,83.2,83.6,,73.5,,,,74.1
38S-  91/,LITTLE WHITE RIVER BAILEY BRIDGE,PONT BAILEY LITTLE WHITE RIVER ,546,46.57964,-82.99352,Bridge,Temporary Modular,Bailey Panel,Steel,1970,,2008,1,Total=33.5  (1)=33.5;,33.5,3.5,Northeastern,,Open to traffic,Provincial,07/31/2017,70,70,,70.3,,70.7,,70.8,,71.9,,74.3,80.2,,65.7,,,,70.7
38S-  92/,SAUBLE RIVER BAILEY BRIDGE,PONT BAILEY DE LA RIVIÈRE SAUBLE ,810,46.5665,-82.17894,Bridge,Temporary Modular,Bailey Panel,Steel,1979,,2008,1,Total=15.24  (1)=15.24;,15.2,3.62,Northeastern,,Open to traffic,Provincial,09/12/2016,73.8,,73.8,,73.8,,73.5,,73.8,,74.3,,74.6,,74.1,73.3,,,
38S-  93/,SAUBLE RIVER BAILEY BRIDGE,PONT BAILEY DE LA RIVIÈRE SAUBLE ,810,46.56543,-82.17774,Bridge,Temporary Modular,Bailey Panel,Steel,1979,,2008,1,Total=24.4  (1)=24.4;,24.4,3.76,Northeastern,,Open to traffic,Provincial,09/12/2016,65.6,,65.6,,66.2,,64.3,,64.2,,65.1,,64,,41.3,40.1,,,
38S-  97/C,BIG CARP TRIB CULVERT,,565,46.52105,-84.48663,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1958,,,1,Total=6;  (1)=6;,18.3,,Northeastern,,Open to traffic,Provincial,08/03/2017,69.8,69.8,,70.2,,70.9,,,,71.2,,69.6,70.7,,62.8,,50.4,,
38S- 111/,ECHO BAY BRIDGE,PONT ECHO BAY ,17,46.49379,-84.07826,Bridge,Beam/Girder,Box Beam,Weathering Steel,1992,,,1,Total=40  (1)=40;,40.6,17.35,Northeastern,,Open to traffic,Provincial,10/12/2017,74.1,74.1,,74.2,,74.2,,74.5,,75.1,,78.9,83.6,,,,,,73.6
38S- 116/,BAR RIVER BRIDGE #1 (SYLVAN VALLEY BR. #1),PONT DE LA RIVIÈRE BAR #1 (PONT SYLVAN VALLEY #1) ,638,46.47066,-83.98969,Bridge,Slab,Solid Slab,Timber-Concrete Composite,1972,,1988,3,Total=18.3  (1)=6.1;(2)=6.1;(3)=6.1;,18.8,9.14,Northeastern,,Open to traffic,Provincial,11/02/2017,72.8,72.8,,72.8,,73.1,,73.1,,73.8,,73.4,74,,69.3,,,,69.6
38S- 117/,BAR RIVER BRIDGE #2 (SYLVAN VALLEY BR. #2),PONT DE LA RIVIÈRE BAR #2 (Y PONT SYLVAN VALLE #2) ,638,46.47066,-83.98724,Bridge,Slab,Solid Slab,Timber-Concrete Composite,1972,,1988,3,Total=18.3  (1)=6.1;(2)=6.1;(3)=6.1;,18.8,9.14,Northeastern,,Open to traffic,Provincial,11/02/2017,71.2,71.2,,72.1,,71,,71,,74,,73.8,74.3,,70.6,,,,70.2
38S- 121/,BAR RIVER BRIDGE #3 (SYLVAN VALLEY BR. #3),PONT DE LA RIVIÈRE BAR #3 (PONT SYLVAN VALLEY #3) ,638,46.4707,-83.97842,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1971,,1988,3,Total=18.3  (1)=6.1;(2)=6.1;(3)=6.1;,18.8,9.15,Northeastern,,Open to traffic,Provincial,11/02/2017,71.9,71.9,,72.4,,72.6,,72.6,,74.4,,81.8,85.2,,73,,,,70.5
38S- 122/,LEEBURN CREEK BRIDGE,PONT DU RUISSEAU LEEBURN ,638,46.4655,-83.81041,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1981,2014,,1,Total=21  (1)=21;,23.8,9.38,Northeastern,,Open to traffic,Provincial,11/02/2017,74.9,74.9,,76,,67.5,,70.8,,71.1,,70.1,68.6,,68.4,,,,70.1
38S- 123/,THESSALON RIVER BRIDGE,PONT THESSALON RIVER ,638,46.46754,-83.77125,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1981,,,3,Total=47.3  (1)=12.2;(2)=22.9;(3)=12.2;,48,9.4,Northeastern,,Open to traffic,Provincial,11/01/2017,71.1,71.1,,70.4,,71.2,,71.5,,71.8,,69.1,68.6,,69.4,,,,70.8
38S- 135/,WANAMAKER CREEK BRIDGE,PONT DU RUISSEAU WANAMAKER ,670,46.45443,-83.688,Bridge,Temporary Modular,Other TMB,Steel,2010,,,1,Total=18.3  (1)=18.3;,18.6,4.7,Northeastern,,Open to traffic,Provincial,08/23/2017,87.8,87.8,,93.5,,97.8,,99.8,,74.4,,73.3,74.3,,69.6,,,,67
38S- 136/,WANAMAKER CREEK BRIDGE,PONT DU RUISSEAU WANAMAKER ,670,46.45966,-83.64084,Bridge,Temporary Modular,Other TMB,Steel,2009,,,1,Total=18.3  (1)=18.3;,18.6,4.7,Northeastern,,Open to traffic,Provincial,08/23/2017,86.9,86.9,,92.8,,97.4,,99.7,,64,,63.8,61.5,,59.7,,,,54.5
