School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Sunrise Montessori School,667501,,Grace Koo,,,180 Amber St,Markham,Ontario,L3R3L2,905-477-2833,905-477-2833,Barrie Regional Office,,Elementary,Not applicable,,No
Sunshine Montessori School,884369,,Cynthia Bradshaw,,,10 Boniface Avenue,Kitchener,Ontario,N2C1L9,519-744-1423,519-744-9929,London Regional Office,www.smsschool.ca,Elementary,Not applicable,Site based only,Canadian Association of Montessori Administrators
SuOn Academy,667183,Offers credits toward the Ontario Secondary School Diploma (OSSD),Maria Pereira,,,5 Queenslea Ave.,Toronto,Ontario,M9N3X9,416-248-5999,,Toronto and Area Regional Office,www.suoninternationalacademy.com,Secondary,All Year Round,Site based only,No
SuOn Academy Queenslea,887855,Offers credits toward the Ontario Secondary School Diploma (OSSD),Maria Pereira,,,5 Queenslea Avenue,Toronto,Ontario,M9N3X9,416-248-5999,416-248-5988,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
T.E.A.M. School,881864,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lillian Sawtschuk,,,275 Rudar Rd,Mississauga,Ontario,L5A1S2,905-279-7200,905-279-1561,Toronto and Area Regional Office,http://www.teamschool.com,Elem/Sec,Not applicable,,No
Taddle Creek Montessori School,882025,,Matt Smith,,,39 SPADINA RD,TORONTO,Ontario,M5R2S9,416-413-9493,,Toronto and Area Regional Office,mildenhallmontessori.com,Elementary,Not applicable,,Canadian Council of Montessori Administrators
TAIE International Institute,878510,Offers credits toward the Ontario Secondary School Diploma (OSSD),WILLIAM HARGREAVES,2nd Floor,,399 Church St,Toronto,Ontario,M5B2J6,416-368-2882,416-955-0023,Toronto and Area Regional Office,www.taie.ca,Secondary,All Year Round,,No
Talenta Academy,885040,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sivam Mahalingam,2,,2020 Ellesmere Road,Scarborough,Ontario,M1H2Z8,416-396-3344,416-396-3343,Toronto and Area Regional Office,www.talentaacademy.ca,Secondary,All Year Round,Internet/Site Based,No
Tall Pines School,884081,,Jan Zaharchuk,,,8525 Torbram Road,Brampton,Ontario,L6T5K4,905-458-6770,905-458-7967,Toronto and Area Regional Office,http://www.tallpinesschool.com,Elementary,Not applicable,,Canadian Council of Montessori Administrators
Tamarack West Outdoor School,666855,,Jay Field,2,,2264 Bloor Street West,Toronto,Ontario,M6S1N9,416-606-4584,,Toronto and Area Regional Office,www.tamarackwest.com,Elementary,Not applicable,,OFIS
TanenbaumCHAT Wallenberg Campus,887170,Offers credits toward the Ontario Secondary School Diploma (OSSD),Renee Cohen,,,200 Wilmington Ave,Toronto,Ontario,M3H5J8,416-636-5984,416-636-7717,Toronto and Area Regional Office,http://www.tanenbaumchat.org,Secondary,All Year Round,,No
Tapply Binet College,666351,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sue Davidson,,,245 Garner Rd W,Ancaster,Ontario,L9G3K9,905-648-2737,905-648-8762,London Regional Office,www.tapplybinetcollege.com,Secondary,Not applicable,,OFIS
Tarbiyah Elementary School,668379,,Yani Sauders,,,89 Ontario Street North,Milton,Ontario,L9T2T1,416-473-2072,,Toronto and Area Regional Office,www.tarbiyah.ca,Elementary,Not applicable,Site based only,Ummati Board
Tarbiyah Learning,669947,,Ghazala Choudhary,2,,3990 Old Richmond Rd Road,Nepean,Ontario,K2H8R5,613-421-1700,,Ottawa Regional Office,www.tarbiyahlearning.ca,Elementary,Not applicable,,Ontario Association of Islamic Schools
Tayba Islamic Academy,669852,,Minnat-Allah Aboul-Ella,C18,,619 Wild Ginger Avenue,Waterloo,Ontario,N2V2X1,,,London Regional Office,www.taybaislamicacademy.ca,Elementary,Not applicable,Site based only,No
Tayyibah Islamic Academy Inc.,881156,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anam Khan,205,,100 McLevin Avenue,Scarborough,Ontario,M1B2V5,416-297-7336,416-297-7930,Toronto and Area Regional Office,tayyibahacademy.com,Elem/Sec,Not applicable,Site based only,No
TBMS-Canada's International School,884892,,Hongying Zhang,410,,Goldhawk Trail,Toronto,Ontario,M1V4E7,416-551-9188,,Toronto and Area Regional Office,www.tbms789.com,Elementary,Not applicable,Site based only,No
Terra Viva Montessori Bilingual,669149,,,,,85 Lakeshore Road,St. Catherines,Ontario,L2N2T6,289-990-1320,,London Regional Office,,Elem/Sec,Not applicable,,
TFS,876313,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mastaneh Rezaei,206,,5635 Yonge St,Toronto,Ontario,M2M3S9,416-850-0649,416-850-1336,Toronto and Area Regional Office,www.tfshighschool.com,Secondary,All Year Round,Site based only,No
Thaler's Amish Parochial School,666688,,Martha Kuepfer,,,217 Concession 14 Brockton East 1,Chesley,Ontario,N0G1L0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
The Ambassadors of God Academy,669489,,Prophet Joseph Eniolorunda,,,807 Arrow Road,North York,Ontario,M9M2L4,416-827-7570,,Toronto and Area Regional Office,,Elementary,Not applicable,,No
The Boundless School,667064,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mary-Michelle Bolland,,,7513 River Road Road 1,Palmer Rapids,Ontario,K0J2E0,613-758-2702,613-758-2196,Ottawa Regional Office,www.theboundlessschool.com,Secondary,All Year Round,Site based only,No
The Clover School,668055,,Erika Lacey,,,585 Cranbrooke Avenue,Toronto,Ontario,M6A2X9,416-781-4449,,Toronto and Area Regional Office,cloverschool.com,Elementary,Not applicable,,Canadian Council of Montessori Administrators
The Country Day School,885584,Offers credits toward the Ontario Secondary School Diploma (OSSD),John Liggett,,,13415 Dufferin St,King City,Ontario,L7B1K5,905-833-1220,905-833-1350,Barrie Regional Office,http://www.cds.on.ca,Elem/Sec,Not applicable,Site based only,No
The Educators Academy,888750,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anila Shakeel,201 & 202,,9715 James Potter Road,Brampton,Ontario,L6X3B9,905-654-4646,905-654-4646,Toronto and Area Regional Office,www.educatorsacademy.ca,Secondary,All Year Round,Site based only,No
The Element,886025,Offers credits toward the Ontario Secondary School Diploma (OSSD),Carrie Whalen,201,,425 Marché Way,Ottawa,Ontario,K1S5H6,613-521-5185,613-521-6796,Ottawa Regional Office,www.elementhighschool.com,Elem/Sec,Not applicable,,Canadian Council of Montessori Administrators
The Erindale Academy,883442,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tam Huynh-Daws,,,1576 Dundas Street West,Mississauga,Ontario,L5C1E5,905-232-1576,,Toronto and Area Regional Office,www.teacademy.ca,Secondary,All Year Round,Internet/Site Based,No
The Laurel School,667258,,Mary Kindos,,,44 Upjohn Road,Toronto,Ontario,M3B2W1,416-510-2500,855-514-5002,Toronto and Area Regional Office,www.laurelschool.ca,Elementary,Not applicable,,No
The Learning Academy,665569,,,,,34 Fieldstone Cr.,Komoka,Ontario,N0L1R0,519-670-5215,,London Regional Office,,Elementary,Not applicable,,
The Lighthouse Learning and Development,884612,Offers credits toward the Ontario Secondary School Diploma (OSSD),Serena Thompson,,,219 Old Yonge Street,Aurora,Ontario,L4G6J6,905-727-6666,905-727-6662,Toronto and Area Regional Office,www.lhldc.com,Elem/Sec,Not applicable,,No
The London School,882978,Offers credits toward the Ontario Secondary School Diploma (OSSD),Cora McNamara,,,615 Wellington Street,London,Ontario,N6A3R6,519-601-3838,,London Regional Office,www.thelondonschool.ca,Secondary,All Year Round,Site based only,No
The Maples Independent Country,665806,,Gregory Playford,,,513047 2nd Line,Amaranth,Ontario,L9W0S3,519-942-3310,519-942-8041,Toronto and Area Regional Office,www.themaplesschool.com,Elementary,Not applicable,,IB
The Nature School,885922,,Adrian O'Driscoll,,,9550 Pine Valley Drive,Woodbridge,Ontario,L4L1A6,905-832-2289,,Barrie Regional Office,https://kortright.org/the-nature-school/,Elementary,Not applicable,,No
The Orchard Montessori School Ltd. (Elem,669642,,Holly Venable,2nd Fl,,375 Dovercourt Road,Toronto,Ontario,M6J3E5,416-534-7979,416-981-8940,Toronto and Area Regional Office,www.theorchardmontessori.com,Elementary,Not applicable,,No
The Owl's Nest Holistic Alternative Scho,668822,,,,,5642 11 Line,Harriston,Ontario,N0G1Z0,519-546-9834,,Toronto and Area Regional Office,,Elementary,Not applicable,,
The Oxford School,665096,,George FRIESEN,,,595459 Hwy 59,Woodstock,Ontario,N4S7W1,519-469-3434,519-469-9264,London Regional Office,www.trinityprivateschool.ca,Elementary,Not applicable,Site based only,No
The Study,889391,,Jason Krell,,,20 Glebe Road East,Toronto,Ontario,M4S1N6,416-929-1630,,Toronto and Area Regional Office,thestudyacademy.ca,Elementary,Not applicable,,Independent and Private School Forum
The Study Academy,665121,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jason Krell,300,,2040 Yonge Street,Toronto,Ontario,M4S1Z9,416-929-1630,,Toronto and Area Regional Office,thestudyacademy.ca,Secondary,All Year Round,,Independent and Private School Forum
The Toronto French School - Mississauga,881961,,Davy Marques,,,1293 Meredith Avenue,Mississauga,Ontario,L5E2E6,905-278-7243,905-278-9626,Toronto and Area Regional Office,www.tfs.ca,Elementary,Not applicable,,Conference of Independent Schools of Ontario
The York School,884326,,Struan Robertson,,,1639 Yonge Street,Toronto,Ontario,M4T2W6,416-926-1325,647-258-4113,Toronto and Area Regional Office,www.yorkschool.com,Elementary,Not applicable,Site based only,Canadian Accredited Independent Schools
THINNOX School,881756,Offers credits toward the Ontario Secondary School Diploma (OSSD),Keka Nag,4/5,,3120 Glen Erin Drive,Mississauga,Ontario,L5L1R6,905-608-8446,905-607-8446,Toronto and Area Regional Office,www.thinnox.com,Secondary,All Year Round,,No
Thomas Fiddler Memorial Private High Sch,663530,Offers credits toward the Ontario Secondary School Diploma (OSSD),Cynthia Spence,,8,,Sandy Lake,Ontario,P0V1V0,807-774-1229,807-774-1228,Thunder Bay Regional Office,,Secondary,First Nation,First Nation,No
Thornhill Amish Private School,884545,,Verna Wearen,,,Side Road 5 1,Chesley,Ontario,N0G1K0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,No
Thornton Academy,668829,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jackie Wang,,,4073 4th Line,Cookstown,Ontario,L0L1L0,705-458-4949,705-458-4948,Barrie Regional Office,www.thorntonmontessoriacademy.com,Elem/Sec,All Year Round,,No
Three Bridges Old Colony Christian Schoo,668569,,Katharin Klassen,,,2043 Three Bridges Road 1,St. Jacobs,Ontario,N0B2N0,,519-664-0430,London Regional Office,,Elementary,Not applicable,Site based only,No
Three Fishes Christian Elementary School,877395,,David Loganathan,,,1160 Bellamy Rd N,Toronto,Ontario,M1H2X4,416-284-9003,416-284-2007,Toronto and Area Regional Office,www.threefishes.org,Elementary,Not applicable,,Christian
ThriveKids Academy,884214,,,,,873 St. Clair Avenue West,Toronto,Ontario,M6C1C4,416-410-4944,,Toronto and Area Regional Office,,Elementary,Not applicable,,
Thunder Bay Christian School,886203,Offers credits toward the Ontario Secondary School Diploma (OSSD),Allen Bron,,,37 Cooper Rd,Rosslyn,Ontario,P7K0E2,807-939-1209,807-939-2843,Thunder Bay Regional Office,http://www.tbaychristianschool.ca/,Elem/Sec,Not applicable,Internet/Site Based,Edvance
Tiferes Bais Yaakov High School,666181,Offers credits toward the Ontario Secondary School Diploma (OSSD),Polina Aizenberg-Nagla,,,85 Stormont Avenue,Toronto,Ontario,M5N2C3,416-785-4044,416-785-4046,Toronto and Area Regional Office,www.tiferesbaisyaakov.com,Secondary,All Year Round,Site based only,UJA Federation Centre for Jewish Education
Tillsonburg Christian School,665607,,Marten Klassen,,,165 Goshen Road 2,Tillsonburg,Ontario,N4G4G7,519-688-9521,,London Regional Office,,Elementary,Not applicable,Site based only,No
Timothy Canadian Reformed School,886068,,Michael Noot,,,430 East 25th St,Hamilton,Ontario,L8V3B4,905-385-3953,905-385-8073,London Regional Office,,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
Timothy Christian School,885096,,Rodney Berg,,,750 Essa Rd,Barrie,Ontario,L4N9E9,705-726-6621,705-726-8571,Barrie Regional Office,http://www.timothychristianschool.ca/,Elementary,Not applicable,,Christian Schools International
Timothy Christian School,885770,,Heidi Blokland,,179,12600 County Road 18 Road,Williamsburg,Ontario,K0C2H0,613-535-2687,,Ottawa Regional Office,http://www.tcswilliamsburg.ca,Elementary,Not applicable,Site based only,Ontario Alliance of Christian Schools
Timothy Christian School,886831,,Margareth Lise,,,28 Elmhurst Dr,Rexdale,Ontario,M9W2J5,416-741-5770,416-741-3359,Toronto and Area Regional Office,www.timothycs.com,Elementary,Not applicable,,Edvance Christian School Association
Timothy Christian School,889458,,Matthew Bittel,,,1735 4th Ave W,Owen Sound,Ontario,N4K4X7,519-371-9151,519-371-8607,Barrie Regional Office,www.tcsowensound.com,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Tiny Forest Academy,888492,,WHITNEY GLAGE,,,200 Concession Rd 8 East,Tiny,Ontario,L0L2J0,705-529-6443,,Barrie Regional Office,www.tinyforestacademy.ca,Elementary,Not applicable,Site based only,No
TMS School - Bayview,665064,,Rachel Marks,,,8569 Bayview Avenue,Richmond Hill,Ontario,L4B3M7,905-889-6882,905-886-6516,Barrie Regional Office,www.tmsschool.ca,Elementary,Not applicable,,CCMA and CAIS.
TMS School - Elgin Mills,885797,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sheila Thomas,,,500 Elgin Mills Road E.,Richmond Hill,Ontario,L4C5G1,905-780-1002,905-780-8981,Barrie Regional Office,www.tmsschool.ca,Elem/Sec,Not applicable,,"CIS, CCMA, CAIS, IBO"
Todd Parochial,882853,,Edward Gingerish,,,85782 St Helen's Line 2,Lucknow,Ontario,N0G2H0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,No
Tollgate Parochial,882432,,Leona Bauman,,,7173 Sideroad 2 5,Mount Forest,Ontario,N0G2L0,,,Toronto and Area Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools C/o. Levi Frey
Torah Academy of Ottawa Elementary Schoo,878065,,Boruch Perton,,,1119 Lazard St,Ottawa,Ontario,K2C2R5,613-274-0110,613-274-0025,Ottawa Regional Office,www.torahacademyofottawa.com,Elementary,Not applicable,,No
Torah High,668220,Offers credits toward the Ontario Secondary School Diploma (OSSD),Antony Lipsey,,,1072 Eglinton Avenue West,Toronto,Ontario,M6C2E2,905-761-6279,905-761-9115,Toronto and Area Regional Office,www.torahhigh.org,Secondary,Not applicable,Site based only,No
Torah High - Maple,883462,Offers credits toward the Ontario Secondary School Diploma (OSSD),Antony Lipsey,,,9600 Bathurst Street,Maple,Ontario,L6A3Z8,905-761-6279,,Barrie Regional Office,www.torahhigh.org,Secondary,Not applicable,Site based only,No
Torah High - Thornhill,886634,Offers credits toward the Ontario Secondary School Diploma (OSSD),Antony Lipsey,305A,,1 Promenade Circle,Thornhill,Ontario,L4J4P8,905-761-6279,,Barrie Regional Office,www.torahhigh.org,Secondary,All Year Round,Internet/Site Based,No
Torah High - Toronto,667402,Offers credits toward the Ontario Secondary School Diploma (OSSD),Antony Lipsey,,,15 15 Hove Street,Toronto,Ontario,M2R3V2,905-761-6279,,Toronto and Area Regional Office,www.torahhigh.org,Secondary,Not applicable,Site based only,No
Torah High Ottawa,883058,Offers credits toward the Ontario Secondary School Diploma (OSSD),David Rotenberg,2-5,,261 Centrepointe Dr,Ottawa,Ontario,K2G6E8,613-889-3283,613-798-9839,Ottawa Regional Office,,Secondary,Not applicable,,No
Toronto Academy of EMC,886229,Offers credits toward the Ontario Secondary School Diploma (OSSD),Marvin Hoti,A202,,5145 Steeles Avenue West,Toronto,Ontario,M9L1R5,647-667-2479,,Toronto and Area Regional Office,Torontoemc.ca,Secondary,All Year Round,Site based only,No
Toronto Academy Plus,889162,Offers credits toward the Ontario Secondary School Diploma (OSSD),Farzaneh Sadaghianloo,1B,,7378 Yonge Street,Vaughan,Ontario,L4J8J1,905-597-2799,,Toronto and Area Regional Office,www.torontoacademyplus.com,Secondary,All Year Round,Site based only,No
Toronto Berkshire Academy,668674,Offers credits toward the Ontario Secondary School Diploma (OSSD),Li Jing,400,,3550 Victoria Park Avenue,Toronto,Ontario,M2H2N5,905-597-6651,,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
Toronto Central Academy,885489,Offers credits toward the Ontario Secondary School Diploma (OSSD),George Vanderkuur,,,200 Sheppard Avenue East,Toronto,Ontario,M2N3A9,416-850-8889,416-225-9606,Toronto and Area Regional Office,www.tacademy.ca,Secondary,All Year Round,Site based only,No
"Toronto Cheder, The",877140,,David Engel,,,3995 Bathurst St,Toronto,Ontario,M3H5V3,416-636-2987,416-636-9346,Toronto and Area Regional Office,torontocheder.org,Elementary,Not applicable,Site based only,No
Toronto District Christian High School,886777,Offers credits toward the Ontario Secondary School Diploma (OSSD),William Groot,,,377 Woodbridge Ave,Woodbridge,Ontario,L4L2V7,905-851-1772,905-851-9992,Barrie Regional Office,http://www.tdchristian.ca,Secondary,Not applicable,Site based only,Edvance Christian Schools
Toronto eLearning School,883367,,,,,"351 Ferrier, 2nd Floor, Unit #2",Markham,Ontario,L3R5Z2,647-313-0131,,Barrie Regional Office,,Secondary,All Year Round,,
Toronto Eschool,886520,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dan Bowyer,2nd Floor,,41 Metropolitan Road,Toronto,Ontario,M1R2T5,416-637-2632,,Toronto and Area Regional Office,torontoeschool.com,Secondary,All Year Round,Internet based only,No
Toronto French Montessori School,666718,,Marie Mousa,,,191 Wade Gate,Thornhll,Ontario,L4J5Y4,416-250-9952,416-250-9952,Toronto and Area Regional Office,www.torontofrenchmontessori.com,Elementary,Not applicable,Site based only,"Association of Christian Schools Internationa,"
Toronto French School,887072,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jean-Bastien Urfels,,,306 Lawrence Ave E,Toronto,Ontario,M4N1T7,416-484-6533,416-488-2928,Toronto and Area Regional Office,www.tfs.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
"Toronto Heschel School, The",877638,,Greg Beiles,,,819 Sheppard Ave W,Toronto,Ontario,M3H2T3,416-635-1876,416-635-1800,Toronto and Area Regional Office,http://www.torontoheschel.org,Elementary,Not applicable,Site based only,Board of Jewish Education
Toronto Heuristic International Academy,883858,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jenny Zhao,,,513 McNicoll Avenue,Toronto,Ontario,M2H2C9,647-336-3886,,Toronto and Area Regional Office,www.thiacademy.ca,Secondary,All Year Round,,No
Toronto High School,882401,Offers credits toward the Ontario Secondary School Diploma (OSSD),Somayeh Nikoudad,307B,,9555 Yonge Street,Richmond Hill,Ontario,L4C9M5,416-227-1177,,Toronto and Area Regional Office,www.TorontoHighSchool.ca,Elem/Sec,All Year Round,Internet/Site Based,No
Toronto International Academy,666629,Offers credits toward the Ontario Secondary School Diploma (OSSD),Charles Lee,223,,1140 Burnhamthorpe Road West,Mississauga,Ontario,L5C4E9,905-615-1011,905-615-1029,Toronto and Area Regional Office,www.tiaschools.com,Elem/Sec,All Year Round,Internet/Site Based,No
Toronto International College,665800,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anchuan Jiang,500,,3550 Victoria Park Avenue,Toronto,Ontario,M2H2N5,416-498-9299,416-498-8366,Toronto and Area Regional Office,www.ticedu.ca,Secondary,All Year Round,Internet/Site Based,OFIS
Toronto International Collegiate,669195,Offers credits toward the Ontario Secondary School Diploma (OSSD),John Elmer,105,,80 Acadia Avenue,Toronto,Ontario,L3R9V1,905-741-1481,,Toronto and Area Regional Office,www.ticollegiate.com,Secondary,All Year Round,Site based only,No
Toronto International School,667508,,,,,"20 Tangreen Court, 2nd Floor",North York,Ontario,M2M3Y9,647-996-9137,,Toronto and Area Regional Office,,Secondary,All Year Round,,
Toronto Maple Leaf Academy,885656,Offers credits toward the Ontario Secondary School Diploma (OSSD),YUSUF TALUKDER,,,10 Noganosh Road,Scarborough,Ontario,M1L1K5,416-916-9013,,Toronto and Area Regional Office,www.tmlacademy.ca,Secondary,All Year Round,Site based only,No
Toronto Nobel Academy,668934,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mahmoud Ghalehnoie,,,6305 Yonge Street,North York,Ontario,M2M3X7,647-348-3530,647-348-3540,Toronto and Area Regional Office,www.torontonobelacademy.com,Secondary,All Year Round,Internet/Site Based,No
Toronto Prep School,886362,,,200 & 500,,250 Davisville Avenue,Toronto,Ontario,M4S1H2,416-545-1020,,Toronto and Area Regional Office,,Elem/Sec,Not applicable,,
Toronto Scholars' Collegiate,665640,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dan Bowyer,202,,41 Metropolitan Road,Toronto,Ontario,M1R2T5,667-346-7460,,Toronto and Area Regional Office,www.torontosc.com,Secondary,All Year Round,Internet/Site Based,No
Toronto Waldorf School,887790,Offers credits toward the Ontario Secondary School Diploma (OSSD),Helene Gross,Unit 1,,9100 Bathurst St,Thornhill,Ontario,L4J8C7,905-881-1611,905-881-6710,Barrie Regional Office,www.torontowaldorfschool.com,Elem/Sec,All Year Round,Site based only,Association of Waldorf Schools of North America
Toronto West Academy,665377,Offers credits toward the Ontario Secondary School Diploma (OSSD),Christian Bayly,600,,77 Bloor Street West,Toronto,Ontario,M5S1M2,416-628-4339,,Toronto and Area Regional Office,torontowestacademy.ca,Elem/Sec,All Year Round,Internet based only,No
Toronto Zoo,888183,Offers credits toward the Ontario Secondary School Diploma (OSSD),Steve Jones,A,,361 OLD FINCH AVE,TORONTO,Ontario,M1B5K7,416-392-5944,,Toronto and Area Regional Office,www.torontozoo.com,Secondary,Summer,,No
Town Centre Private School - Pre-School,883875,,Rocco Lamanna,,,155 Clayton Dr,Markham,Ontario,L3R7P3,905-470-1200,905-470-0184,Barrie Regional Office,www.tcmps.com,Elementary,Not applicable,Site based only,OFIS
Town Centre Private Schools - High Schoo,666810,Offers credits toward the Ontario Secondary School Diploma (OSSD),Patrick McCarthy,,,155 CLAYTON DR,MARKHAM,Ontario,L3R7P3,905-470-1200,905-470-1721,Barrie Regional Office,www.tcphs.com,Secondary,All Year Round,Site based only,OFIS
Town Centre Private Schools-Milliken Cam,665816,Offers credits toward the Ontario Secondary School Diploma (OSSD),Leepy Hajra,,,3 Clayton Drive,Markham,Ontario,L3R8N3,905-470-8178,,Toronto and Area Regional Office,www.tcphs.com,Secondary,All Year Round,Site based only,ofis
Trafalgar Castle School,886700,Offers credits toward the Ontario Secondary School Diploma (OSSD),Leanne Foster,,,401 Reynolds St,Whitby,Ontario,L1N3W9,905-668-3358,905-668-4136,Barrie Regional Office,http://www.trafalgarcastle.ca,Elem/Sec,Not applicable,Internet/Site Based,Canadian Association of Independent Schools
Trafalgar Ridge Montessori School,665967,,Sandrine Lescure,Unit 6,,2379 Trafalgar Rd,Oakville,Ontario,L6H6K7,905-257-5955,,Toronto and Area Regional Office,www.trms.ca,Elementary,Not applicable,Site based only,No
Trail Ridge Montessori School,884483,,Ada DeLong,,,18 Elizabeth St,Grimsby,Ontario,L3M3K3,905-945-1490,,London Regional Office,www.trailridge.ca,Elementary,Not applicable,,adco
Trails Youth Initiatives,665231,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mel Millward,,,15599 Warden Ave,Stouffville,Ontario,L4A2M9,905-836-0100,,Barrie Regional Office,www.trails.ca,Secondary,All Year Round,,No
Trenton Christian,886572,,Allen Bron,,,340 Second Dug Hill Rd 4,Trenton,Ontario,K8V5P7,613-392-3600,613-392-6316,Ottawa Regional Office,www.trentonchristianschool.com/,Elementary,Not applicable,Site based only,Ontario Alliance of Christian Schools
Trillium School,875511,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lily Moon,,,4277 14th Ave,Markham,Ontario,L3R0J2,905-946-1181,905-946-8267,Barrie Regional Office,http://www.trilliumschool.ca/,Elem/Sec,All Year Round,,No
Trillium Waldorf School,877549,,Jennifer Erickson,,,540 Victoria Road North,Guelph,Ontario,N1E6Z4,519-821-5140,,Toronto and Area Regional Office,www.guelphwaldorf.ca,Elementary,Not applicable,Site based only,AWSNA
Trinity Academy of Canada,887000,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jay Z,200A,,60 Gough Road,Markham,Ontario,L3R8X7,905-513-6539,,Barrie Regional Office,www.trinitycanada.ca,Secondary,All Year Round,Internet based only,No
Trinity Christian School,885240,,Jean-Daniel Lussier,,,2170 Itabashi Way,Burlington,Ontario,L7M5B3,905-634-3052,905-634-9382,Toronto and Area Regional Office,www.tcsonline.ca,Elementary,Not applicable,,Ontario Association of Christian Schools- Edvance
Trinity College School,886254,Offers credits toward the Ontario Secondary School Diploma (OSSD),JENNIFER WYATT,,,55 Deblaquire St N,Port Hope,Ontario,L1A4K7,905-885-3217,905-885-9690,Barrie Regional Office,http://www.tcs.on.ca,Elem/Sec,All Year Round,Site based only,CAIS-Conference of Independent Schools
Trinity Montessori School,665215,,Elena Ho,,,9211 Woodbine Ave,Markham,Ontario,L3R0K1,905-948-8993,905-948-8983,Barrie Regional Office,www.trinitymontessori.ca,Elementary,Not applicable,,"CCMA, OFIS"
Triple Hills,886194,,Nelson Brubacher,,,90848 Jeffray Line 2,Wingham,Ontario,N0G2W0,,,London Regional Office,,Elementary,Not applicable,Site based only,No
Trondle Education,884231,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yiwen Wang,203,,7240 Woodbine Avenue,Markham,Ontario,L3R1A4,647-222-7688,,Barrie Regional Office,,Secondary,All Year Round,Internet based only,No
True North Academy,884816,,Lisa Cooke,,1270,200 Ontario Street,Stayner,Ontario,L0M1S0,705-428-5144,,Barrie Regional Office,www.truenorthacademy.ca,Elementary,Not applicable,,ACSI
True North Christian Academy,665506,,KENDA MATTE,,,707 Old Goulais Bay Road,Sault Ste Marie,Ontario,P6A0B5,705-987-5873,,Sudbury-North Bay Regional Office,,Elementary,Not applicable,Site based only,No
True North Christian Academy,876496,,Audrey Werstler,,,599 Government St.,Dryden,Ontario,P8N0A2,807-223-5504,,Thunder Bay Regional Office,,Elem/Sec,Not applicable,Site based only,No
Turnberry Parochial School,876305,,Judith Wall,,,89913 Powell Line 1,Wingham,Ontario,N0G2W0,,,London Regional Office,,Elementary,Not applicable,Site based only,Orthodox Mennonite Parochial Schools
Turnbull School,668681,,Craig Dunn,,,1132 Fisher Avenue,Ottawa,Ontario,K1Z6P7,613-729-2273,613-729-1636,Ottawa Regional Office,www.turnbull.ca,Elementary,Not applicable,,Ontario Federation of Independent Schools
Uchenna Academy,884350,Offers credits toward the Ontario Secondary School Diploma (OSSD),Careen McNee,106,,1205 St. Clair Avenue West,Toronto,Ontario,M6E1B5,416-855-5572,,Toronto and Area Regional Office,www.uchenna.ca,Secondary,All Year Round,Internet/Site Based,No
UFuture Virtual Academy,889219,,,,,3450 Wolfedale Road,Mississauga,Ontario,L5C2V6,416-820-5006,,Toronto and Area Regional Office,,Secondary,All Year Round,,
Um Al-Qura Islamic School,665614,,Husnah Al-Mashtouli,205,,41 Metropolitan Rd,Scarborough,Ontario,M1R2T5,416-443-3557,416-443-3557,Toronto and Area Regional Office,www.umalqura.ca,Elementary,Not applicable,,No
UMC High School,666482,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tanya Rene Fraser,,,425 McCowan Road,Scarborough,Ontario,M1J1J1,416-438-0707,,Toronto and Area Regional Office,www.umchighschool.com,Secondary,All Year Round,,No
