Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Identified as Gifted,Percentage of Students Receiving Special Education Services,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),616141,Withrow Avenue Junior Public School,Public,Not applicable,Elementary,English,JK-6,,,25 Bain Ave,Toronto,Toronto,Ontario,M4K1E5,416-393-9440,416-393-9595,http://schoolweb.tdsb.on.ca/Withrow,www.tdsb.on.ca,585,43.67045,-79.3521,9,99,4,4,8,1,80%,-1.0,77%,-7.0,72%,3.0,94%,-6.0,96%,-4.0,72%,-9.0,,,,,,,9,84,2020-09-04,1,1,1,0,0
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954160,Woburn Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,2222 Ellesmere Rd,Toronto,Toronto,Ontario,M1G3M3,416-396-4575,416-396-4569,http://www.woburnci.ca,www.tdsb.on.ca,910,43.77816,-79.2285,65,100,6,7,15,11,,,,,,,,,,,,,73%,1.0,25%,-2.0,82%,3.0,28,41,2020-09-04,0,0,0,1,1
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),616532,Woburn Junior Public School,Public,Not applicable,Elementary,English,JK-6,,,40 Dormington Dr,Toronto,Scarborough,Ontario,M1G3N2,416-396-6670,416-396-6672,http://www.tdsb.on.ca/MOSS/asp_apps/school_landing_page/index.asp?schno=4798,www.tdsb.on.ca,385,43.7795,-79.227,80,100,15,15,5,0,75%,6.0,83%,14.0,69%,14.0,86%,-1.0,90%,12.0,59%,5.0,,,,,,,55,45,2020-09-04,1,1,1,0,0
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),617210,Woodbine Middle School,Public,Junior High School,Elementary,English,6-8,,,2900 Don Mills Rd,Toronto,Toronto,Ontario,M2J3B6,416-395-3110,416-395-4447,http://schoolweb.tdsb.on.ca/woodbine,www.tdsb.on.ca,360,43.78232,-79.3499,65,100,30,30,20,0,N/D,,N/D,,N/D,,61%,,60%,,30%,,,,,,,,40,60,2020-09-04,0,0,1,1,0
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954640,York Humber High School,Public,Vocational/Occupational,Secondary,English,9-12,,,100 Emmett Ave,Toronto,Toronto,Ontario,M6M2E6,416-394-3280,416-394-3441,http://yorkhumber.ca,www.tdsb.on.ca,190,43.68841,-79.5061,40,95,0,0,100,0,,,,,,,,,,,,,N/R,,N/R,,N/R,,30,30,2020-09-04,0,0,0,1,1
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954683,York Memorial Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,2690 Eglinton Ave W,Toronto,Toronto,Ontario,M6M1T9,416-394-3000,416-394-3416,http://schoolweb.tdsb.on.ca/yorkmemorial,www.tdsb.on.ca,885,43.69025,-79.4763,53,100,4,4,17,1,,,,,,,,,,,,,62%,6.0,3%,-7.0,85%,5.0,27,25,2020-09-04,0,0,0,1,1
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954810,York Mills Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,490 York Mills Rd,Toronto,Toronto,Ontario,M3B1W6,416-395-3340,416-395-9000,http://schoolweb.tdsb.on.ca/yorkmillsci/,www.tdsb.on.ca,1240,43.75152,-79.3735,50,99,7,7,10,3,,,,,,,,,,,,,88%,,N/D,,93%,2.0,22,68,2020-09-04,0,0,0,1,1
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),954942,Yorkdale Secondary School,Public,Alternative,Secondary,English,9-12,,,38 Orfus Rd,Toronto,Toronto,Ontario,M6A1L6,416-395-3350,416-395-4456,http://www.yorkdale.net,www.tdsb.on.ca,415,43.72012,-79.4594,65,95,50,50,10,0,,,,,,,,,,,,,,,,,N/D,,25,35,2020-09-04,0,0,0,1,1
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),624594,Yorkview Public School,Public,Not applicable,Elementary,English,JK-5,,,130 Yorkview Dr,Toronto,North York,Ontario,M2R1K1,416-395-2980,416-395-2985,http://schoolweb.tdsb.on.ca/yorkview/,www.tdsb.on.ca,460,43.77257,-79.4356,45,100,10,15,10,0,69%,7.0,77%,6.0,58%,-4.0,N/D,,N/D,,N/D,,,,,,,,20,65,2020-09-04,1,1,1,0,0
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),624756,Yorkwoods Public School,Public,Not applicable,Elementary,English,JK-5,,,25 Yorkwoods Gate,Toronto,North York,Ontario,M3N1K1,416-395-2990,416-395-6559,http://www.tdsb.on.ca/MOSS/asp_apps/school_landing_page/index.asp?schno=3296,www.tdsb.on.ca,390,43.75065,-79.5139,30,100,5,5,20,0,55%,7.0,58%,-7.0,30%,-5.0,N/D,,N/D,,N/D,,,,,,,,55,10,2020-09-04,1,1,1,0,0
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),625132,Zion Heights Middle School,Public,Junior High School,Elementary,English,6-8,,,5900 Leslie St,Toronto,North York,Ontario,M2H1J9,416-395-3120,416-395-3917,http://schoolweb.tdsb.on.ca/zionheights,www.tdsb.on.ca,490,43.797909999999995,-79.3711,50,100,10,5,10,45,N/D,,N/D,,N/D,,88%,1.0,91%,3.0,88%,9.0,,,,,,,25,70,2020-09-04,0,0,1,1,0
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),599135,da Vinci School,Public,Not applicable,Elementary,English,JK-6,,,33 Robert Street,Toronto,Toronto,Ontario,M5S2K2,416-393-8204,416-393-0763,http://schoolweb.tdsb.on.ca/davincischool,www.tdsb.on.ca,85,43.65925,-79.4025,30,100,0,0,10,0,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,20,60,2020-09-04,1,1,1,0,0
B66052,Toronto DSB,Pub Dist Sch Brd (E/F),186880,Étienne Brûlé Junior School,Public,Not applicable,Elementary,English,JK-5,,,50 Cloverhill Rd,Toronto,Etobicoke,Ontario,M8Y1T3,416-394-7850,416-394-6307,http://schoolweb.tdsb.on.ca/etiennebrule/,www.tdsb.on.ca,215,43.63561,-79.4897,35,100,20,20,10,0,88%,-1.0,83%,-6.0,88%,14.0,N/D,,N/D,,N/D,,,,,,,,30,55,2020-09-04,1,1,1,0,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),890170,AAEC's/e-Learning,Public,Adult,Secondary,English,9-12,,,230 Angeline St. S,Kawartha Lakes,Lindsay,Ontario,K9V4R2,705-324-5280,705-324-9773,http://www.anewstart.ca,www.tldsb.ca,990,45.04095,-79.3181,8,99,1,2,13,0,,,,,,,,,,,,,,,,,29%,8.0,15,31,2020-09-04,0,0,0,1,1
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),010219,Alexandra Public School,Public,Not applicable,Elementary,English,JK-6,,,65 Sussex St N,Kawartha Lakes,Lindsay,Ontario,K9V4H9,705-324-3313,705-324-2262,http://aps.tldsb.on.ca/,www.tldsb.ca,150,44.35875,-78.7453,5,100,0,0,35,0,62%,-32.0,81%,-13.0,48%,-52.0,82%,-18.0,79%,-21.0,57%,-43.0,,,,,,,30,20,2020-09-04,1,1,1,0,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),896038,Alternative Education,Public,Alternative,Secondary,English,9-12,,,230 Angeline Street,Kawartha Lakes,Lindsay,Ontario,K9V0J8,705-324-5280,705-324-9773,,www.tldsb.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-04,0,0,0,1,1
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),019577,Archie Stouffer Elementary School,Public,Not applicable,Elementary,English,JK-8,,,12 Vintage Cres.,Minden Hills,Minden,Ontario,K0M2K0,705-286-1921,705-286-6937,http://ase.tldsb.on.ca/,www.tldsb.ca,405,44.9298,-78.7295,0,100,0,0,20,0,52%,-22.0,30%,-52.0,48%,-28.0,85%,5.0,78%,6.0,58%,20.0,,,,,,,30,30,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),055450,Bobcaygeon Public School,Public,Not applicable,Elementary,English,JK-8,,,30 Balaclava St,Kawartha Lakes,Bobcaygeon,Ontario,K0M1A0,705-738-5105,705-738-2128,http://bob.tldsb.on.ca/,www.tldsb.ca,385,44.54582,-78.55,0,100,0,0,30,0,89%,18.0,84%,13.0,67%,-7.0,91%,6.0,91%,11.0,53%,16.0,,,,,,,15,20,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),056758,Bracebridge Public School,Public,Not applicable,Elementary,English,JK-8,,,90 McMurray St,Bracebridge,Bracebridge,Ontario,P1L2G1,705-645-5209,705-645-3375,http://bps.tldsb.on.ca/,www.tldsb.ca,330,45.04141,-79.3156,0,100,0,0,45,0,64%,-6.0,57%,-10.0,46%,-9.0,72%,-10.0,67%,0.0,44%,-17.0,,,,,,,15,35,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),895660,Bracebridge and Muskoka Lakes Secondary School,Public,Not applicable,Secondary,English,9-12,,,100 Clear Brook Trail,Bracebridge,Bracebridge,Ontario,P1L0A3,705-645-4496,705-645-2552,http://bml.tldsb.on.ca/,www.tldsb.ca,780,45.065509999999996,-79.3272,2,100,1,1,32,0,,,,,,,,,,,,,86%,-4.0,65%,5.0,77%,-7.0,12,28,2020-09-04,0,0,0,1,1
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),083798,Cardiff Elementary School,Public,Not applicable,Elementary,English,JK-3,,,2 Short Rd,Highlands East,Cardiff,Ontario,K0L1M0,613-339-2351,613-339-1490,http://ces.tldsb.on.ca/,www.tldsb.ca,50,45.00582,-78.0032,0,100,0,0,30,0,31%,,31%,,15%,,N/D,,N/D,,N/D,,,,,,,,40,20,2020-09-04,1,1,1,0,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),099007,Central Senior School,Public,Not applicable,Elementary,English,7-8,,,242 Kent St W,Kawartha Lakes,Lindsay,Ontario,K9V2Z4,705-324-4352,705-324-9629,http://css.tldsb.on.ca/,www.tldsb.ca,285,44.353429999999996,-78.7464,0,100,0,0,30,0,,,,,,,,,,,,,,,,,,,20,20,2020-09-04,0,0,0,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),147524,Dr George Hall Public School,Public,Not applicable,Elementary,English,JK-8,,,374 Eldon Rd,Kawartha Lakes,Little Britain,Ontario,K0M2C0,705-786-1915,705-786-1976,http://dgh.tldsb.on.ca/,www.tldsb.ca,320,44.28203,-78.8577,0,100,0,0,30,0,79%,49.0,54%,12.0,57%,27.0,57%,-12.0,60%,-2.0,33%,7.0,,,,,,,5,20,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),154113,Dunsford District Elementary School,Public,Not applicable,Elementary,English,JK-8,,,33 Dunsford Rd RR 2,Kawartha Lakes,Dunsford,Ontario,K0M1L0,705-793-2088,705-793-2314,http://dde.tldsb.on.ca/,www.tldsb.ca,290,44.44941,-78.646,0,100,0,0,30,0,72%,-6.0,68%,-12.0,64%,-18.0,71%,-22.0,80%,-6.0,46%,0.0,,,,,,,15,20,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),909700,Fenelon Falls Secondary School,Public,Not applicable,Secondary,English,9-12,,,66 Lindsay St,Kawartha Lakes,Fenelon Falls,Ontario,K0M1N0,705-887-2018,705-887-9588,http://ffs.tldsb.on.ca/,www.tldsb.ca,620,44.53226,-78.73899999999999,0,100,0,0,40,0,,,,,,,,,,,,,90%,19.0,56%,27.0,63%,-7.0,16,16,2020-09-04,0,0,0,1,1
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),194018,Fenelon Twp Public School,Public,Not applicable,Elementary,English,JK-8,,,50 Cameron Rd R. R. #1,Kawartha Lakes,Cameron,Ontario,K0M1G0,705-359-1366,705-359-1843,http://ftp.tldsb.on.ca/,www.tldsb.ca,150,44.44343,-78.7762,0,100,5,5,40,0,65%,-4.0,65%,11.0,35%,-27.0,53%,-20.0,53%,-14.0,13%,-34.0,,,,,,,10,15,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),357707,Glen Orchard Public School,Public,Not applicable,Elementary,English,JK-8,,,3954 Muskoka Road 169 Rd RR3,Muskoka Lakes,Port Carling,Ontario,P0B1J0,705-765-3144,705-765-5706,http://glo.tldsb.on.ca/,www.tldsb.ca,160,45.08563,-79.633,0,100,0,0,25,0,75%,15.0,56%,11.0,62%,27.0,65%,-6.0,71%,4.0,29%,0.0,,,,,,,10,30,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),227099,Grandview Public School,Public,Not applicable,Elementary,English,JK-6,,,698 7A Hwy RR1,Kawartha Lakes,Bethany,Ontario,L0A1A0,705-277-2322,705-277-1844,http://gvp.tldsb.on.ca/,www.tldsb.ca,250,44.15952,-78.6591,0,100,0,0,15,0,76%,-6.0,60%,-12.0,49%,-15.0,N/D,,N/D,,N/D,,,,,,,,10,20,2020-09-04,1,1,1,0,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),914380,Gravenhurst High School,Public,Not applicable,Secondary,English,9-12,,,325 Mary St S,Gravenhurst,Gravenhurst,Ontario,P1P1X7,705-687-2283,705-687-4132,http://ghs.tldsb.on.ca/,www.tldsb.ca,330,44.91698,-79.3759,5,100,0,0,40,0,,,,,,,,,,,,,96%,2.0,47%,-34.0,70%,-11.0,20,30,2020-09-04,0,0,0,1,1
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),228877,Gravenhurst Public School,Public,Not applicable,Elementary,English,JK-8,,,301 Mary St S,Gravenhurst,Gravenhurst,Ontario,P1P1X6,705-687-2011,705-687-4654,http://gps.tldsb.on.ca/,www.tldsb.ca,295,44.91805,-79.3772,0,100,0,0,45,0,56%,-2.0,60%,-5.0,28%,-4.0,47%,-27.0,53%,-14.0,7%,-19.0,,,,,,,30,15,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),915297,Haliburton Highland Secondary School,Public,Not applicable,Secondary,English,9-12,,,5358 County Rd. 21,Dysart et al,Haliburton,Ontario,K0M1S0,705-457-2950,705-457-4026,http://hss.tldsb.on.ca/,www.tldsb.ca,450,45.0432,-78.5236,5,100,0,0,40,0,,,,,,,,,,,,,85%,13.0,46%,-3.0,69%,5.0,15,20,2020-09-04,0,0,0,1,1
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),034789,Honey Harbour Public School,Public,Not applicable,Elementary,English,JK-8,,,2586 Honey Harbour Rd,Georgian Bay,Honey Harbour,Ontario,P0E1E0,705-756-2433,705-756-1071,http://hhp.tldsb.on.ca/,www.tldsb.ca,SP,44.87145,-79.8142,SP,SP,SP,SP,SP,SP,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,SP,SP,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),917761,Huntsville High School,Public,Not applicable,Secondary,English,9-12,,,58 Brunel Rd,Huntsville,Huntsville,Ontario,P1H2A2,705-789-5594,705-789-2269,http://hhs.tldsb.on.ca/,www.tldsb.ca,900,45.32249,-79.2144,2,100,1,0,30,0,,,,,,,,,,,,,91%,16.0,62%,22.0,79%,1.0,12,28,2020-09-04,0,0,0,1,1
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),273597,Huntsville Public School,Public,Not applicable,Elementary,English,JK-8,,,16 Caroline St W,Huntsville,Huntsville,Ontario,P1H2B2,705-789-2318,705-789-8262,http://hps.tldsb.on.ca/,www.tldsb.ca,505,45.3269,-79.2205,0,100,0,0,27,0,46%,-22.0,17%,-45.0,20%,-32.0,81%,6.0,72%,3.0,40%,5.0,,,,,,,15,31,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),918130,I E Weldon Secondary School,Public,Not applicable,Secondary,English,9-12,,,24 Weldon Rd,Kawartha Lakes,Lindsay,Ontario,K9V4R4,705-324-3585,705-878-3685,http://iew.tldsb.on.ca/,www.tldsb.ca,1060,44.35966,-78.7161,1,99,1,1,28,0,,,,,,,,,,,,,83%,-2.0,56%,-1.0,73%,-14.0,13,18,2020-09-04,0,0,0,1,1
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),278211,Irwin Memorial Public School,Public,Not applicable,Elementary,English,JK-8,,,1011 Dwight Beach Rd RR1,Lake of Bays,Dwight,Ontario,P0A1H0,705-635-2232,705-635-9251,http://irw.tldsb.on.ca,www.tldsb.ca,125,45.32547,-79.0013,0,100,5,0,35,0,64%,-24.0,55%,-7.0,36%,-8.0,76%,5.0,62%,-2.0,10%,-33.0,,,,,,,15,50,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),240761,J Douglas Hodgson Elementary School,Public,Not applicable,Elementary,English,1-8,,,1020 Grass Lake Rd,Dysart et al,Haliburton,Ontario,K0M1S0,705-457-2922,705-457-4082,http://jdh.tldsb.on.ca/,www.tldsb.ca,305,45.04123,-78.5276,0,100,0,0,35,0,N/D,,N/D,,N/D,,74%,-5.0,72%,3.0,30%,2.0,,,,,,,20,30,2020-09-04,0,0,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),418013,Jack Callaghan Public School,Public,Not applicable,Elementary,English,JK-8,,,5 Tracey's Hill Rd RR 5,Kawartha Lakes,Lindsay,Ontario,K9V4R5,705-324-9931,705-324-8080,http://jcp.tldsb.on.ca/,www.tldsb.ca,305,44.33645,-78.6914,0,100,0,0,30,0,59%,-30.0,44%,-41.0,44%,-19.0,87%,-4.0,94%,24.0,71%,28.0,,,,,,,20,20,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),374601,K P Manson Public School,Public,Not applicable,Elementary,English,JK-8,,,1017 Graham Rd.,Gravenhurst,Severn Bridge,Ontario,P0E1N0,705-689-2612,705-689-9372,http://kpm.tldsb.on.ca/,www.tldsb.ca,165,44.7808,-79.3512,0,100,0,0,30,0,N/R,,N/R,,N/R,,77%,15.0,62%,18.0,46%,21.0,,,,,,,20,15,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),294004,King Albert Public School,Public,Not applicable,Elementary,English,JK-6,,,49 Glenelg St W,Kawartha Lakes,Lindsay,Ontario,K9V2T9,705-324-3702,705-324-5434,http://kap.tldsb.on.ca/,www.tldsb.ca,140,44.3518,-78.7377,0,100,0,0,30,0,81%,49.0,75%,43.0,44%,12.0,73%,8.0,55%,-4.0,0%,-47.0,,,,,,,40,20,2020-09-04,1,1,1,0,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),417378,Lady Eaton Elementary School,Public,Not applicable,Elementary,English,JK-6,,,17 James St,Kawartha Lakes,Omemee,Ontario,K0L2W0,705-799-5292,705-799-7928,http://lee.tldsb.on.ca/,www.tldsb.ca,225,44.29955,-78.5612,0,100,0,0,20,0,74%,-8.0,64%,-16.0,67%,0.0,N/D,,N/D,,N/D,,,,,,,,10,25,2020-09-04,1,1,1,0,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),170240,Lady Mackenzie Public School,Public,Not applicable,Elementary,English,JK-8,,,1746 Kirkfield Rd,Kawartha Lakes,Kirkfield,Ontario,K0M2B0,705-438-3371,705-438-3766,http://lmp.tldsb.on.ca/,www.tldsb.ca,295,44.5294,-78.9429,5,100,0,0,20,0,71%,-8.0,51%,-25.0,57%,-13.0,84%,8.0,84%,25.0,37%,19.0,,,,,,,20,15,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),307947,Langton Public School,Public,Not applicable,Elementary,English,JK-8,,,35 Wychwood Cres,Kawartha Lakes,Fenelon Falls,Ontario,K0M1N0,705-887-2001,705-887-5311,http://lps.tldsb.on.ca/,www.tldsb.ca,400,44.52598,-78.7215,0,100,0,0,25,0,100%,25.0,91%,2.0,85%,6.0,83%,12.0,77%,3.0,58%,25.0,,,,,,,20,20,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),311685,Leslie Frost Public School,Public,Not applicable,Elementary,English,JK-6,,,51 Angeline St S,Kawartha Lakes,Lindsay,Ontario,K9V3L1,705-324-5602,705-324-7222,http://lfp.tldsb.on.ca/,www.tldsb.ca,500,44.34884,-78.7505,2,100,1,0,10,0,50%,-50.0,50%,-50.0,55%,-33.0,80%,-7.0,83%,4.0,49%,18.0,,,,,,,20,26,2020-09-04,1,1,1,0,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),922838,Lindsay Collegiate and Vocational Institute,Public,Vocational/Occupational,Secondary,English,9-12,,,260 Kent St W,Kawartha Lakes,Lindsay,Ontario,K9V2Z5,705-324-3556,705-878-3684,http://lcv.tldsb.on.ca/,www.tldsb.ca,565,44.35335,-78.7474,0,100,0,0,36,0,,,,,,,,,,,,,85%,20.0,54%,-24.0,63%,-12.0,11,27,2020-09-04,0,0,0,1,1
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),327280,Macaulay Public School,Public,Not applicable,Elementary,English,JK-8,,,1270 Cedar Lane RR2,Bracebridge,Bracebridge,Ontario,P1L1W9,705-645-5410,705-645-0074,http://mac.tldsb.on.ca/,www.tldsb.ca,270,45.06029,-79.2992,0,100,0,0,25,0,69%,-13.0,67%,-18.0,67%,-3.0,76%,-5.0,83%,-3.0,59%,-27.0,,,,,,,10,30,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),329460,Mariposa Elementary School,Public,Not applicable,Elementary,English,JK-8,,,755 Eldon Rd RR 2,Kawartha Lakes,Oakwood,Ontario,K0M2M0,705-953-9740,705-953-9860,http://mes.tldsb.on.ca/,www.tldsb.ca,370,44.31402,-78.8725,0,100,0,0,10,0,71%,-11.0,71%,-5.0,61%,-24.0,86%,19.0,79%,9.0,57%,20.0,,,,,,,10,30,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),368946,Monck Public School,Public,Not applicable,Elementary,English,JK-8,,,250 Wellington St,Bracebridge,Bracebridge,Ontario,P1L1C1,705-645-9986,705-645-4479,http://mon.tldsb.on.ca/,www.tldsb.ca,720,45.04079,-79.321,0,99,0,0,20,0,43%,-33.0,36%,-40.0,58%,-19.0,70%,-14.0,71%,-4.0,39%,-5.0,,,,,,,16,38,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),382140,Muskoka Beechgrove Public School,Public,Not applicable,Elementary,English,JK-8,,,395 Muskoka Beach Rd.,Gravenhurst,Gravenhurst,Ontario,P1P1M9,705-687-2162,705-687-7352,http://mbs.tldsb.on.ca/,www.tldsb.ca,325,44.93496,-79.3709,0,100,0,0,35,0,61%,-21.0,61%,0.0,47%,-14.0,77%,-10.0,74%,-19.0,51%,8.0,,,,,,,20,20,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),382191,Muskoka Falls Public School,Public,Not applicable,Elementary,English,JK-8,,,42 Morrow Dr.,Bracebridge,Bracebridge,Ontario,P1L0A1,705-645-2463,705-645-3033,http://mfp.tldsb.on.ca/,www.tldsb.ca,175,44.99491,-79.29899999999999,0,100,0,0,30,0,76%,-16.0,41%,-36.0,59%,21.0,89%,39.0,78%,38.0,33%,13.0,,,,,,,10,20,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),435708,Parkview Public School,Public,Not applicable,Elementary,English,JK-8,,,133 Adelaide St N,Kawartha Lakes,Lindsay,Ontario,K9V4M2,705-324-4558,705-324-8944,http://pps.tldsb.on.ca/,www.tldsb.ca,340,44.36208,-78.7531,0,100,0,0,20,0,70%,2.0,68%,9.0,52%,8.0,79%,-12.0,79%,-9.0,61%,8.0,,,,,,,20,35,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),099520,Pine Glen Public School,Public,Not applicable,Elementary,English,JK-8,,,126 West Road,Huntsville,Huntsville,Ontario,P1H1M5,705-789-4791,705-789-6190,http://pgp.tldsb.on.ca/,www.tldsb.ca,210,45.331309999999995,-79.2289,0,100,0,0,35,0,48%,3.0,52%,25.0,48%,7.0,57%,-35.0,43%,-40.0,5%,-41.0,,,,,,,20,30,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),575194,Queen Victoria Public School,Public,Not applicable,Elementary,English,JK-6,,,11 John St,Kawartha Lakes,Lindsay,Ontario,K9V1J3,705-324-3162,705-324-1066,http://qvp.tldsb.on.ca/,www.tldsb.ca,160,44.358990000000006,-78.7328,0,100,0,0,40,0,45%,-3.0,35%,-27.0,35%,-20.0,64%,16.0,48%,-21.0,16%,-12.0,,,,,,,25,15,2020-09-04,1,1,1,0,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),048305,Ridgewood Public School,Public,Not applicable,Elementary,English,JK-8,,,6763 35 Hwy,Kawartha Lakes,Coboconk,Ontario,K0M1K0,705-454-3351,705-454-8985,http://rps.tldsb.on.ca/,www.tldsb.ca,230,44.665620000000004,-78.8025,0,100,0,0,30,0,69%,-25.0,44%,-50.0,50%,-44.0,52%,-20.0,44%,-36.0,32%,0.0,,,,,,,25,15,2020-09-04,1,1,1,1,0
B66087,Trillium Lakelands DSB,Pub Dist Sch Brd (E/F),068454,Riverside Public School,Public,Not applicable,Elementary,English,JK-8,,,755 Brunel Road,Huntsville,Huntsville,Ontario,P1H1Z3,705-789-2282,705-789-2896,http://riv.tldsb.on.ca/,www.tldsb.ca,500,45.29831,-79.2027,0,100,0,5,20,0,76%,18.0,41%,-12.0,51%,-8.0,70%,28.0,70%,-13.0,20%,20.0,,,,,,,15,30,2020-09-04,1,1,1,1,0
