Municipality,Permit Number,Type of Building,Type of Work,Value of Construction,Units Created,Units Lost,Building Area,Approval Date,Extract Date
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,294-WH-06,100,03,"90,000",0,0,0,10/02/2006 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,039-WH-08,100,03,"110,000",0,0,0,03/04/2008 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,014-H-06,100,03,"50,000",0,0,0,10/10/2006 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,173-WH-06,100,03,"78,000",0,0,0,06/19/2006 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,087-WH-07,100,03,"80,000",0,0,0,05/15/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,316-WH-09,100,03,"53,000",0,0,0,09/09/2009 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,173-WH-07,100,03,"80,000",0,0,0,07/11/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,089-WH-07,100,15,"50,000",0,0,0,05/16/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,101-WH-07,100,15,"80,000",0,0,0,05/25/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,069-WH-07,100,15,"75,000",0,0,0,05/02/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,214-WH-07,100,15,"100,000",0,0,0,08/10/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,210-WH-08,100,15,"55,000",0,0,0,06/19/2008 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,310-WH-07,100,15,"70,000",0,0,0,10/04/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,433-WH-09,100,15,"50,000",0,0,0,11/19/2009 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,344-WH-09,100,15,"152,000",0,0,0,09/24/2009 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,014-H-08,100,15,"60,000",0,0,0,07/08/2008 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,109-WH-06,100,15,"50,000",0,0,0,05/08/2006 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,221-WH-07,100,15,"50,000",0,0,0,08/14/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,364-WH-06,400,01,"660,000",0,0,0,12/04/2006 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,186-WH-08,400,03,"787,000",0,0,0,06/13/2008 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,382-WH-08,400,03,"1,452,500",0,0,0,10/01/2008 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,011-WH-06,400,03,"250,000",0,0,0,01/31/2006 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,196-WH-07,410,01,"475,000",0,0,0,07/26/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,115-WH-07,410,03,"300,000",0,0,0,06/12/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,300-WH-06,410,03,"1,980,000",0,0,0,10/04/2006 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,406-WH-08,410,03,"320,000",0,0,0,10/16/2008 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,288-WH-06,500,01,"1,227,658",0,0,0,09/26/2006 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,068-WH-07,500,01,"600,000",0,0,0,05/02/2007 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,436-WH-09,500,01,"290,000",0,0,0,11/23/2009 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,324-WH-06,500,01,"3,000,000",0,0,0,10/26/2006 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,008-H-08,500,01,"297,182",0,0,0,02/07/2008 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,417-WH-08,600,01,"900,000",0,0,0,10/29/2008 12:00:00 AM,08/01/2017 08:38:49 AM
REGION OF QUEENS MUNICIPALITY,116-17,110,01,"300,000",0,0,"1,900",07/07/2017 12:00:00 AM,08/01/2017 08:38:49 AM
REGION OF QUEENS MUNICIPALITY,063-15,110,01,"70,000",0,0,988,05/27/2015 12:00:00 AM,08/01/2017 08:38:49 AM
TOWN OF ANTIGONISH,0215,500,03,"450,000",0,0,0,07/20/2017 12:00:00 AM,08/01/2017 08:38:49 AM
TOWN OF BRIDGEWATER,C2017-088,100,03,"130,000",0,0,0,07/17/2017 12:00:00 AM,08/01/2017 08:38:49 AM
TOWN OF LUNENBURG,DP17050,999,03,"264,407",0,0,"3,833",06/22/2017 12:00:00 AM,08/01/2017 08:38:49 AM
TOWN OF MIDDLETON,M15-001,540,03,"368,000",0,0,0,04/01/2015 12:00:00 AM,08/01/2017 08:38:49 AM
TOWN OF WESTVILLE,WV-C2017-014,100,01,"140,000",0,0,954,07/25/2017 12:00:00 AM,08/01/2017 08:38:49 AM
TOWN OF WESTVILLE,WV-C2017-012,100,15,"50,000",0,0,0,07/12/2017 12:00:00 AM,08/01/2017 08:38:49 AM
TOWN OF WINDSOR,013-W-17,310,01,"1,445,000",14,0,"14,906",07/07/2017 12:00:00 AM,08/01/2017 08:38:49 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2017-160,110,01,"150,000",1,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2017-127,110,01,"70,000",0,0,"1,008",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2017-161,110,03,"50,000",0,0,504,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2017-133,110,03,"50,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2017-142,110,09,"50,000",1,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2017-134,150,01,"45,000",1,0,"1,000",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2017-124,150,03,"50,000",0,0,744,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2017-100,100,01,"175,000",0,0,"1,432",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2017-099,100,01,"238,000",0,0,"1,654",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2017-061,100,01,"150,000",0,0,"1,618",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2017-094,100,01,"380,000",0,0,"2,294",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2017-079,100,01,"200,000",0,0,"1,368",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2017-074,100,01,"550,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2017-066,100,01,"325,000",0,0,"3,184",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2017-073,100,15,"100,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2017-085,100,15,"100,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2017-064,100,15,"60,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2017-084,600,03,"1,165,400",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-056,100,01,"330,000",0,0,"1,440",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-065,100,01,"310,000",0,0,"2,160",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-083,100,01,"280,000",0,0,"1,830",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-046,100,01,"300,000",0,0,"2,738",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-069,100,01,"255,000",0,0,"2,992",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-003,100,01,"100,000",0,0,"1,196",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-086,100,01,"150,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2016-034,100,01,"170,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-063,100,01,"120,000",0,0,"1,440",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-087,100,01,"232,000",0,0,"1,872",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2017-081,100,03,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-C2015-003,400,99,"400,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6049,110,01,"300,000",0,0,"1,600",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6045,110,01,"100,000",0,0,"1,632",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6055,110,01,"300,000",0,0,"2,210",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6071,130,01,"58,000",0,0,"1,024",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6067,410,05,"600,000",0,0,"6,300",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6065,410,05,"500,000",0,0,"4,180",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,B2011-057,100,01,"75,000",0,0,900,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-26605,100,01,"82,500",0,0,"1,500",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-68211,100,01,"50,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2017-125,100,01,"270,000",0,0,"1,932",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2017-101,100,01,"50,000",0,0,624,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-43883,100,01,"65,000",0,0,"1,152",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2017-080,100,01,"500,000",0,0,"3,635.5",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-47619,100,01,"100,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2017-098,100,03,"160,000",0,0,"1,056",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-37079,100,03,"60,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,-26745,500,01,"400,000",0,0,"2,850",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2017-052,100,01,"70,000",0,0,900,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2017-048,100,03,"120,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2017-062,100,15,"50,000",0,0,660,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2017-055,100,01,"180,000",0,0,"1,620",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2017-052,100,01,"250,000",0,0,"2,520",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2017-053,100,01,"85,000",0,0,960,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2017-049,100,01,"50,000",0,0,726,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20170051,110,01,"201,000",0,0,"1,080",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20170059,110,03,"50,000",0,0,364,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,332-WH-10,100,01,"231,400",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,302-WH-10,100,01,"100,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,048-WH-11,100,01,"60,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,356-WH-10,100,01,"80,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,090-WH-09,100,01,"150,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,032-WH-10,100,01,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,021-WH-09,100,01,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,014-WH-09,100,01,"250,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,126-WH-10,100,01,"300,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,074-WH-09,100,01,"120,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,186-WH-09,100,01,"170,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,289-WH-11,100,01,"250,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2017-078,100,01,"185,000",0,0,"1,080",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,108-WH-11,100,01,"60,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,040-WH-09,100,01,"170,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,314-WH-11,100,01,"60,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,323-WH-10,100,01,"60,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,245-WH-10,100,01,"165,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,242-WH-10,100,01,"145,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,292-WH-10,100,01,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,153-WH-09,100,01,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,002-H-11-A,100,01,"95,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,358-WH-10,100,01,"100,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,224-WH-10,100,01,"165,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,186-WH-11,100,01,"140,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,020-WH-92,100,01,"70,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,314-WH-10,100,01,"150,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,131-WH-11,100,01,"230,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,057-WH-11,100,01,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,071-WH-09,100,01,"175,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,387-WH-11,100,01,"90,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,027-WH-09,100,01,"150,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,037-WH-09,100,01,"125,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,240-WH-10,100,01,"80,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,219-WH-11,100,01,"80,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,225-WH-10,100,01,"100,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,359-WH-10,100,01,"80,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,260-WH-11,100,01,"90,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,076-WH-09,100,01,"300,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2017-125,100,01,"275,000",0,0,"2,968",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,362-WH-11,100,01,"350,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,083-WH-09,100,01,"145,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,078-WH-09,100,01,"70,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,258-WH-10,100,01,"120,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,148-WH-10,100,01,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,039-WH-10,100,01,"185,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,010-H-10,100,01,"213,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,050-WH-11,100,01,"300,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,150-WH-09,100,01,"131,229",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,299-WH-11,100,01,"135,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,300-WH-11,100,01,"90,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,183-WH-11,100,01,"100,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,205-WH-11,100,01,"50,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,202-WH-10,100,01,"225,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,344-WH-11,100,01,"80,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,192-WH-11,100,01,"130,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,145-WH-10,100,01,"75,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,194-WH-09,100,01,"150,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,143-WH-09,100,01,"250,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,343-WH-10,100,01,"90,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,025-WH-09,100,01,"80,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,040-WH-10,100,01,"170,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,213-WH-09,100,01,"300,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,012-WH-10,100,01,"230,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,228-WH-10,100,01,"178,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,211-WH-10,100,01,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,236-WH-11,100,01,"80,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,147-WH-10,100,01,"130,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,265-WH-11,100,01,"230,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,020-WH-09,100,01,"179,900",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,185-WH-11,100,01,"180,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,218-WH-11,100,01,"180,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,381-WH-11,100,01,"60,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,030-WH-11,100,01,"183,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,241-WH-10,100,01,"105,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,052-WH-10,100,01,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,428-WH-10,100,01,"150,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,266-WH-10,100,01,"170,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,138-WH-09,100,01,"180,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,408-WH-10,100,01,"100,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2017-016,100,01,"176,000",0,0,980,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,376-WH-11,100,01,"283,500",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,172-WH-10,100,01,"70,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,330-WH-10,100,01,"60,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,366-WH-11,100,01,"60,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,082-WH-06,100,01,"125,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,010-WH-09,100,01,"90,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,212-WH-10,100,01,"152,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,405-WH-10,100,01,"220,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,380-WH-11,100,01,"80,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,396-WH-10,100,01,"80,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,299-WH-10,100,01,"140,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,304-WH-10,100,01,"300,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,119-WH-10,100,01,"130,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2017-108,100,01,"200,000",0,0,"1,337",,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,024-WH-10,100,01,"200,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,403-WH-11,100,01,"125,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,413-WH-11,100,01,"100,000",0,0,0,,07/04/2017 11:10:39 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,003-H-11-A,100,01,"95,000",0,0,0,,07/04/2017 11:10:39 AM
