OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
Victoria Association for Community Living,Burnside Home,Residential Care,595 Burnside Rd W,Victoria,V8Z 1M7,(250)727-9534,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2267FCE752450795882572AD005DB3C8,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.3707565,48.4426579
Clements Centre Society,Campbell Street Group Home,Residential Care,346 Campbell St ,Duncan,V9L 3H8,(250)748-5219,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=43DC92BAEBCAF2D388256B7C007BC3A2,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,6,N,,-123.6883723,48.7777614
BeConnected Support Services Ltd.,Carey House,Residential Care,4241 Carey Rd ,Victoria,V8Z 4H1,(250)727-0545,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=ADA60BFF01B5507B88256B900066CFFC,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.4007389,48.4825801
Iona Sadlemyer,Cartref,Residential Care,4024 Livingstone Ave N,Victoria,V8N 5Z5,(250)721-2620,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=1AE67942F86928F388257841007E3E95,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,6,N,,-123.3428769,48.4737691
Nanaimo Association For Community Living,Caspers Way Home,Residential Care,1647 Caspers Way ,Nanaimo,V9S 1K2,(250)741-0214,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F81C43D9810DB3FF88257B2C007407AF,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.977657,49.1776058
0732029 BC Limited,Cedars At Cobble Hill,Residential Care,3741 Holland Ave ,Cobble Hill,V0R 1L0,(250)733-2006,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5EF6BD2EB859A07688256FAA006D3AC5,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,Y,76,N,,N,,N,,-123.6024013,48.6969509
Pacific Coast Community Resources Inc.,Central Saanich House,Residential Care,6661 Central Saanich Rd ,Saanichton,V8Z 5V1,(250)652-6434,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=56F55F3CEE7AC4D18825717100768B11,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.4030704,48.5632637
Cerwydden Care Centre Partnership,Cerwydden Care Centre,Residential Care,3243 Cowichan Lake Rd ,Duncan,V9L 4B8,(250)746-4432,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=641FC2709FCCB33588256B7C007BC56C,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,56,N,,N,,-123.7330884,48.7901287
CSH (Malaspina Gardens) LP,Chartwell Malaspina Care Residence,Residential Care,100 Eleventh St ,Nanaimo,V9R 6R6,(250)754-7711,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CFF2C5F0FEF256FC88258125005FAD37,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,136,N,,N,,-123.9248236,49.1298634
Roberta Schenker,Chestnut House,Residential Care,4504 Chestnut Rd ,Cowichan Bay,V0R 1N2,(250)748-6103,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=24BDB0796A60370D88256F1C00728AE9,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.5982066,48.7309792
Thompson Community Services Inc.,Clayton House,Residential Care,875 Clayton Rd ,North Saanich,V8L 5M3,(778)351-0565,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9092FB5BD62FD012882580FA006038E4,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.4621866,48.6804434
Clover Point Lodge Ltd.,Clover Point Care,Residential Care,90 Linden Ave ,Victoria,V8V 4C8,(250)590-7885,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B93D46C1F76D98F0882579C7007DFE0C,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,16,N,,N,,-123.3542325,48.4096733
Communitas Supportive Care Society,Colwyn House,Residential Care,517 Colwyn St ,Campbell River,V9W 2W8,(250)287-3677,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F67C3A5E2E0A43E688256BD1007A114D,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-125.2430433,50.0164341
Courtenay Seniors Village 3LLP,Comox Valley Seniors Village,Residential Care,4640 Headquarters Rd ,Courtenay,V9N 7J3,(250)331-1183,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=112C97FC0AA64E2388258060005D9B28,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,136,N,,N,,-124.9930277,49.7023661
Vancouver Island Health Authority,Cowichan Hospice House,Residential Care,250 Cairnsmore St ,Duncan,V9L 4H2,(250)709-3080,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C940C8EDC51945C3882582C900577294,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,Y,10,N,,N,,N,,N,,-123.7110724,48.7849551
Craigdarroch Care Home Ltd.,Craigdarroch Care Home,Residential Care,1048 Craigdarroch Rd ,Victoria,V8W 3C8,(250)595-3813,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5937746AC753BD5988257D43007BEF70,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,18,N,,N,,-123.3453412,48.4229423
The Cridge Centre For The Family,"Cridge Brain Injury Residence, The",Residential Care,1251 Santa Rosa Ave ,Victoria,V8Z 2V5,(250)479-5299,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=054B0DE096E9C74988256A73007DF5F3,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,N,,Y,10,-123.4145897,48.4750919
Vancouver Island Health Authority,Cumberland Lodge,Residential Care,2696 Windermere Ave ,Cumberland,V0R 1S0,(250)331-8505,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F09FCAF74F26F84D88256BD1007A10FF,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,66,N,,N,,-125.0311371,49.6216348
Evelyn Carruthers,Cummings Home,Residential Care,1926 Cummings Rd ,Courtenay,V9N 9G6,(250)897-0075,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=1D45E75BD681355188256BD1007A1157,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,6,N,,N,,-124.9536777,49.6903919
Deertrail Cottage Inc.,Deertrail Cottage,Residential Care,1711 Escarpment Way ,Duncan,V9L 5W7,(250)746-9641,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=252164375AB1356688257CED005B1419,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,9,N,,N,,-123.6499628,48.8385328
Discovery Harbour Care Centre Partnership,Discovery Harbour Care Centre,Residential Care,850 14th Ave ,Campbell River,V9W 4H4,(250)287-7166,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8DA90877BE38EBF38825723700635B0C,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,Y,6,N,,N,,Y,142,N,,N,,-125.2537651,50.0297507
Valley Integration To Active Living (V.I.T.A.L.),Dogwood House,Residential Care,353 Dogwood Pl ,Duncan,V9L 1H5,(250)748-7112,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=57210DC249EB0CCE88257E770075BB0B,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.7178739,48.7812258
Niagara Care Community Ltd.,Douglas Care Community,Residential Care,657 Niagara St ,Victoria,V8V 1J1,(250)383-9011,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B125444D03EFC06688256E67006CBE8B,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,28,N,,N,,-123.3702758,48.4110201
Vancouver Island Autistic Homes Society,Douglas House,Residential Care,4171 Douglas St ,Victoria,V8X 3Y7,(778)430-5337,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C3B9E1EA94D14E5B8825788D007284B5,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,3,N,,-123.3853288,48.4795951
Dover Home Care Inc.,Dover House Intermediate Care Facility,Residential Care,6155 Hammond Bay Rd ,Nanaimo,V9T 5M4,(250)756-4222,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4F4D7E1314B4C96588256B7C007BC496,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,24,N,,N,,-124.0339629,49.234142
Kardel Consulting Services Inc.,Dustin House,Residential Care,4967 Dustin Crt ,Victoria,V8Y 3B5,(250)658-1491,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=D05D453BC977F81B88256A73007DF555,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.3766182,48.5150696
Dwelling Place Health Care Services Ltd.,Dwelling Place,Residential Care,2630 Labieux Rd ,Nanaimo,V9T 3N1,(250)756-3008,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=720ACB935A44533D88256B9F0080AB35,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,14,Y,2,N,,-124.0151831,49.1998154
Island Community Mental Health Association,Eagle Rock Heights,Residential Care,972 Greenridge Cres ,Victoria,V8X 3B9,(250)727-0241,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0DEB32A0AD4F03CC8825782C0076A0DC,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,Y,6,N,,N,,N,,N,,N,,-123.3682653,48.4665573
Nanaimo Travellers Lodge Society,Eden Gardens,Residential Care,1917 Northfield Rd ,Nanaimo,V9S 3B6,(250)758-4676,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F6420C2B5738B8AE88257D1C00612FC7,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,130,N,,N,,-123.9831258,49.1918276
Edgewood Holdings 2013 Ltd.,Edgewood,Residential Care,2121 Boxwood Rd ,Nanaimo,V9S 4L2,(250)751-0111,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A6C7839349A23CF188256B7C007BC56D,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,Y,139,N,,N,,N,,-123.9974744,49.189754
Shekinah Homes Society,Elivan,Residential Care,3127 Irma St ,Victoria,V9A 1S9,(778)433-5626,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F90B51320A57CF1C882580A500752F36,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,3,N,,-123.3844489,48.4471822
Evergreen Seniors Home Inc.,Evergreen Seniors Home,Residential Care,635 Evergreen Rd ,Campbell River,V9W 3R7,(250)286-7274,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F5CDE76290CA681888256EC1006FA524,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,70,N,,N,,-125.2480244,50.0071448
Integra Support Services Ltd.,Fairway Home,Residential Care,670 Fairway Ave ,Victoria,V9B 2R5,(250)478-9863,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=EB65AAF17FBBB7D6882577AB005EF99E,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.4937434,48.4461636
Independent Living Housing Society,Feltham,Residential Care,1765 Feltham Rd ,Victoria,V8N 2A4,(250)477-6648,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=37ABD8B9480E937E88256A73007DF554,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.3258787,48.4758034
Alberni Clayoquot Continuing Care Society,Fir Park Village,Residential Care,4411 Wallace St ,Port Alberni,V9Y 7Y5,(250)724-6541,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=784FA704AFF782D488256B7C007BC3B0,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,66,N,,N,,-124.7955959,49.2600306
BeConnected Support Services Ltd.,Forrester House,Residential Care,1998 Forrester St ,Victoria,V8R 3H1,(250)592-4461,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C0689B64EB3B2AF388256B900068CA4C,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.3221765,48.4438946
Gate House Adult Care Ltd.,Gate House Adult Care,Residential Care,3380 Cobble Hill Rd ,Cobble Hill,V0R 1L0,(250)743-4913,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=D11312EBD5B7C2DE88256CA200756C0E,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,4,N,,N,,-123.5978302,48.681255
Future Focus Program Services,Gatehouse,Residential Care,2847 Gatehouse Pl ,Courtenay,V9N 8S1,(250)871-2244,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=3A2DE0AD58E6F5C088257F5B007834D2,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-124.9862519,49.7129894
Columbian Centre Society,Gateway House,Residential Care,2356 Rosstown Rd ,Nanaimo,V9T 3R7,(250)758-8711,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7DA0A5DCCF142BD088256B7C007BC3B3,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,Y,10,N,,N,,N,,N,,N,,-123.9993665,49.1967586
Port Alberni Association For Community Living,Gilley Residence,Residential Care,1357 Gilley Cres ,Parksville,V2P 1X2,(250)594-0071,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=45AFBCEA5005622588257A3E0074ABAA,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,3,N,,-124.380275,49.3419689
Glacier View Lodge Society,Glacier View Lodge,Residential Care,2450 Back Rd ,Courtenay,V9N 9G8,(250)338-1451,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=DB5E223729CE1AE288256BD1007A10FE,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,102,N,,N,,-124.9618356,49.6886798
The Ita Wegman Association of B.C.,Glenora Farm - Farm House,Residential Care,4766 Waters Rd ,Duncan,V9L 6S9,(250)715-1559,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=564D6A0250BA8DE28825863A0076847F,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,6,N,,-123.7788194,48.7430774
The Ita Wegman Association of B.C.,Glenora Farm 1 (Big House),Residential Care,4766 Waters Rd ,Duncan,V9L 6S9,(250)715-1559,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=227BAF0396343A6188256B7C007BC565,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,6,N,,-123.7788194,48.7430774
The Ita Wegman Association of B.C.,Glenora Farm 2 (Helios House),Residential Care,4766 Waters Rd ,Duncan,V9L 6S9,(250)715-1559,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=003D84453B6D1E8C88257522006671C2,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.7788194,48.7430774
The Ita Wegman Association of B.C.,Glenora Farm 3 (Corwyn House),Residential Care,4766 Waters Rd ,Duncan,V9L 6S9,(250)715-1559,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=67F4D50BAC4F2FD3882575EF006F0494,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.7788194,48.7430774
1175722 B.C. Ltd,Golden Grove Care Facility,Residential Care,130 Strathcona Way ,Campbell River,V9H 0B1,(250)923-7049,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=48A3521AC1D6CB65882582F9005EE60F,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,6,N,,N,,-125.206101,49.9486851
Victoria Association for Community Living,Gorge View Home,Residential Care,2972 Wascana St ,Victoria,V9H 1V7,(250)595-2821,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=22B308A5BCDC12E488258010006780EC,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.3923411,48.4465291
Thompson Community Services Inc.,Grant House,Residential Care,7134 Grant Rd ,Sooke,V9Z 0N6,(778)352-0223,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C6175F729C9B2F0E882580F7007C09CD,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.7478277,48.3742721
Vancouver Island Autistic Homes Society,Greenlea Group Home,Residential Care,758 Greenlea Dr ,Victoria,V8Z 3E6,(250)744-1334,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=DB6E9D97E0D9032388256A73007DF610,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.3933629,48.4948246
Island Community Mental Health Association,Greenridge Place,Residential Care,970 Greenridge Cres ,Victoria,V8X 3B9,(250)727-3227,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=3E4333ADDB44A4D48825782C006882DC,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,Y,10,N,,N,,N,,N,,N,,-123.3686344,48.4664763
Greenwoods Eldercare Society,Greenwoods,Residential Care,133 Blain Rd ,Salt Spring Island,V8K 1Z9,(250)537-5561,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2C119725FB63549388256A73007DF55B,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,51,N,,N,,-123.5099952,48.8619107
Pacific Coast Community Resources Inc.,Grosvenor House,Residential Care,2825 Grosvenor Rd ,Victoria,V8M 3M8,(250)383-9175,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=01DA84C890AA664E8825713F005E19F3,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,6,N,,-123.3466776,48.4424101
Thompson Community Services Inc.,Haida House,Residential Care,3311 Haida Dr ,Victoria,V9C 3V1,(778)265-2580,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F952488115EFAD238825828F007C21C1,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.5031964,48.4243482
Carmichael Enterprises Youth Residential Program Ltd.,Hammond Place,Residential Care,4930 Hammond Bay Rd ,Nanaimo,V9T 5B4,(250)751-8773,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5B012C62212D33E388256B7C007BC503,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.9864367,49.2315533
Shekinah Homes Society,Happy Rock,Residential Care,3034 Donald St ,Victoria,V9A 1Y2,(250)592-2863,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=BCB63001BD646D5988256FE0007DDE11,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.3941232,48.4492152
HD Management Inc.,Harmony House,Residential Care,2316 Arbot Rd ,Nanaimo,V9R 6S8,(250)753-2316,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=1812F8945004F0FA88256D75006712DD,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,4,Y,1,Y,1,-124.0021768,49.1667893
Hart House Inc.,Hart House,Residential Care,1961 Fairfield Rd ,Victoria,V8W 3C8,(250)598-3542,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=1797E5B5E5A50D4A88257BCE00663DAC,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,22,N,,N,,-123.325381,48.4154053
Independent Living Housing Society,Hawthorne,Residential Care,1610 Hawthorne St ,Victoria,V8N 2M4,(250)721-4065,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=52AFF8F19F64328C88256AB5006B4BE6,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.3304573,48.4877589
Kardel Consulting Services Inc.,Henry House,Residential Care,2374 Henry Ave ,Sidney,V8L 2B5,(250)655-3330,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CD78ACC702E11F7588256A73007DF5EE,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,5,N,,-123.4012506,48.6534717
Pacific Coast Community Resources,Hillside House,Residential Care,3509 Hillside Ave ,Nanaimo,V9T 2Y9,(250),https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=03D84F66D592DF70882586CC007AB9FE,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-124.0018651,49.2171006
Homewood Health Inc.,Homewood Ravensview,Residential Care,1515 Mctavish Rd ,North Saanich,V8L 3Y3,(250)510-9092,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=D67F396F8599E08E882581A7006421B9,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,Y,60,N,,Y,39,N,,N,,N,,-123.4377416,48.6244458
Campbell River & District Association for Community Living,Hoover Rd. Home,Residential Care,2429 Hoover Rd ,Campbell River,V9W 1C5,(250)923-6901,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=65848A7D347898E588256BD1007A1130,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-125.1426609,49.8730957
1222424 BC Ltd.,Island View Place Care,Residential Care,7013 E Saanich Rd ,Saanichton,V8M 1Y3,(250)652-1706,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=DA72BC58A9C017628825849D0061145E,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,19,N,,N,,-123.4029657,48.5730254
KDJ Alliances Holdings Ltd.,Island Way Group Home,Residential Care,201 Burlwood Pl ,Nanaimo,V9T 4N2,(250)756-9756,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0B8A35E596BF3A0A88256EBD00639835,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,6,N,,-124.0033172,49.1983176
AXR Operating (BC) GP Inc.,James Bay Care Centre,Residential Care,336 Simcoe St ,Victoria,V8V 1L2,(250)388-6457,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8FFA2330153B2C6A882581C20076CF91,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,Y,115,N,,N,,-123.376914,48.4173083
Western Human Resource Corp.,Jedburgh Group Home,Residential Care,29 Jedburgh Rd ,Victoria,V9B 1K7,(250)727-2872,https://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0933CEB21E97EE2E88256A73007DF553,Community Care and Assisted Living Act,Residential Care Regulation,Island Health,N,,N,,N,,N,,Y,4,N,,-123.4424864,48.4582572
